Sample	n_segs	frac_altered	n_extrema
TCGA-02-0001-01	117	0.701120834	63
TCGA-02-0003-01	99	0.147988358	41
TCGA-02-0006-01	165	0.239054584	119
TCGA-02-0007-01	161	0.903696282	84
TCGA-02-0009-01	301	0.160048192	228
TCGA-02-0010-01	163	0.563165005	87
TCGA-02-0011-01	107	0.938564861	52
TCGA-02-0014-01	231	0.236519309	140
TCGA-02-0015-01	544	0.180037107	443
TCGA-02-0016-01	431	0.233702413	325
TCGA-02-0021-01	435	0.174644281	367
TCGA-02-0023-01	423	0.188328465	346
TCGA-02-0024-01	174	0.637978025	97
TCGA-02-0025-01	600	0.362993009	525
TCGA-02-0026-01	350	0.469106582	266
TCGA-02-0027-01	99	0.161795779	44
TCGA-02-0028-01	133	0.208086215	74
TCGA-02-0033-01	41	0.164273072	7
TCGA-02-0034-01	210	0.266427459	145
TCGA-02-0037-01	129	0.188534467	72
TCGA-02-0038-01	139	0.179521722	82
TCGA-02-0039-01	466	0.373590946	385
TCGA-02-0043-01	131	0.174686547	73
TCGA-02-0046-01	109	0.10376299	59
TCGA-02-0047-01	68	0.097744614	28
TCGA-02-0048-01	646	0.657094091	564
TCGA-02-0051-01	446	0.601357415	381
TCGA-02-0052-01	77	0.322852566	33
TCGA-02-0054-01	93	0.369285951	41
TCGA-02-0055-01	63	0.558870869	22
TCGA-02-0057-01	65	0.158578393	25
TCGA-02-0058-01	94	0.174148859	43
TCGA-02-0059-01	683	0.326494924	619
TCGA-02-0060-01	166	0.131434272	95
TCGA-02-0064-01	152	0.173338104	81
TCGA-02-0068-01	218	0.15159779	140
TCGA-02-0069-01	283	0.502109956	203
TCGA-02-0070-01	229	0.172154681	167
TCGA-02-0071-01	204	0.141049335	130
TCGA-02-0074-01	151	0.716266504	80
TCGA-02-0075-01	73	0.59099847	31
TCGA-02-0079-01	168	0.323829838	108
TCGA-02-0080-01	198	0.088148421	135
TCGA-02-0083-01	258	0.131519517	166
TCGA-02-0084-01	97	0.470809998	46
TCGA-02-0085-01	79	0.118050137	33
TCGA-02-0086-01	139	0.411252731	81
TCGA-02-0087-01	58	0.159037664	17
TCGA-02-0089-01	188	0.158139153	134
TCGA-02-0099-01	248	0.703239396	167
TCGA-02-0102-01	150	0.162236716	90
TCGA-02-0104-01	542	0.267350678	453
TCGA-02-0106-01	130	0.745323938	60
TCGA-02-0107-01	83	0.178684609	45
TCGA-02-0111-01	158	0.196302668	91
TCGA-02-0113-01	89	0.849624315	42
TCGA-02-0114-01	165	0.160850787	91
TCGA-02-0115-01	195	0.275172372	128
TCGA-02-0116-01	137	0.192884723	70
TCGA-02-0258-01	156	0.384884075	83
TCGA-02-0260-01	160	0.123546788	90
TCGA-02-0266-01	339	0.913350569	245
TCGA-02-0269-01	173	0.275947081	110
TCGA-02-0271-01	129	0.173698365	67
TCGA-02-0281-01	137	0.616161656	73
TCGA-02-0285-01	171	0.184187555	100
TCGA-02-0289-01	681	0.177522069	575
TCGA-02-0290-01	226	0.158667469	155
TCGA-02-0317-01	176	0.140349338	116
TCGA-02-0321-01	182	0.190688294	125
TCGA-02-0324-01	88	0.374682826	35
TCGA-02-0325-01	119	0.457998288	60
TCGA-02-0326-01	112	0.070876093	57
TCGA-02-0330-01	132	0.657243136	77
TCGA-02-0332-01	68	0.326992309	21
TCGA-02-0333-01	282	0.222088187	183
TCGA-02-0337-01	241	0.138294693	182
TCGA-02-0338-01	235	0.021885616	172
TCGA-02-0339-01	103	0.611466102	48
TCGA-02-0422-01	180	0.14443329	113
