,tumor_type,c_index
0,ACC,0.437860513896172
1,BLCA,0.5412796576292708
2,BRCA,0.5869232965519557
3,CESC,0.4659609595027678
4,CHOL,0.4654255319148936
5,COAD,0.5287547821794397
6,DLBC,0.4909090909090909
7,ESCA,0.5050858762714691
8,GBM,0.5070114613402261
9,HNSC,0.5444965397405555
10,KICH,0.6390134529147982
11,KIRC,0.5716146927796923
12,KIRP,0.761795918367347
13,LAML,0.5537343697194999
14,LGG,0.6743302266396121
15,LIHC,0.5982700263256864
16,LUAD,0.5615160955347871
17,LUSC,0.4495455561349922
18,MESO,0.6498108015135879
19,OV,0.4559879967263799
20,PAAD,0.547663012117715
21,PCPG,0.7593085106382979
22,PRAD,0.6008747949699289
23,READ,0.5824039653035935
24,SARC,0.5631594161005926
25,SKCM,0.4627947309741091
26,STAD,0.48168698741816945
27,TGCT,0.2861111111111111
28,THCA,0.5157798165137615
29,THYM,0.813953488372093
30,UCEC,0.6643835616438356
31,UCS,0.458029197080292
32,UVM,0.7307692307692307
