,tumor_type,ci_hrd
0,ACC,0.7252004008016032
1,BLCA,0.49435652644202505
2,BRCA,0.5585909656029838
3,CESC,0.4765951247936292
4,CHOL,0.47074468085106386
5,COAD,0.5587204375625915
6,DLBC,0.4909090909090909
7,ESCA,0.5455227613806903
8,GBM,0.45699056770301694
9,HNSC,0.5506547359231776
10,KICH,0.7798434442270059
11,KIRC,0.5910815568159593
12,KIRP,0.7639944177391844
13,LAML,0.5096316323082122
14,LGG,0.548132183908046
15,LIHC,0.5947242653922264
16,LUAD,0.5205652643814107
17,LUSC,0.4704108064880652
18,MESO,0.5971792225662195
19,OV,0.4216112503604463
20,PAAD,0.5758799769186382
21,PCPG,0.90625
22,PRAD,0.5907851690294439
23,READ,0.5605369807497467
24,SARC,0.585164041046394
25,SKCM,0.5157740577263389
26,STAD,0.5101812112541726
27,TGCT,0.33194444444444443
28,THCA,0.6140767824497257
29,THYM,0.7355769230769231
30,UCEC,0.6419491525423728
31,UCS,0.4876824817518248
32,UVM,0.52465483234714
