,TumorType,Feature,mi_score
0,ACC,X1433EPSILON,3.0440500241168427
1,ACC,X4EBP1,3.0440500241168422
2,ACC,X4EBP1_pS65,3.0440500241168422
3,ACC,X4EBP1_pT37T46,3.044050024116842
4,ACC,X53BP1,3.0440500241168427
5,ACC,ACC_pS79,3.0440500241168422
6,ACC,ACC1,3.0440500241168427
7,ACC,AKT,3.0440500241168422
8,ACC,AKT_pS473,3.0440500241168422
9,ACC,AKT_pT308,3.0440500241168422
10,ACC,AMPKALPHA,3.0440500241168422
11,ACC,AMPK_pT172,3.0440500241168422
12,ACC,AR,3.0440500241168422
13,ACC,ASNS,3.0440500241168422
14,ACC,ATM,3.0440500241168427
15,ACC,BAK,3.0440500241168427
16,ACC,BAX,3.0440500241168422
17,ACC,BCL2,3.0440500241168422
18,ACC,BCLXL,3.0440500241168422
19,ACC,BECLIN,3.0440500241168422
20,ACC,BETACATENIN,3.0440500241168422
21,ACC,BID,3.0440500241168422
22,ACC,BIM,3.0440500241168422
23,ACC,CJUN_pS73,3.0440500241168422
24,ACC,CKIT,3.0440500241168422
25,ACC,CMET_pY1235,3.0440500241168422
26,ACC,CMYC,3.0440500241168422
27,ACC,CRAF,3.0440500241168422
28,ACC,CRAF_pS338,3.0440500241168422
29,ACC,CASPASE7CLEAVEDD198,3.0440500241168422
30,ACC,CAVEOLIN1,3.0440500241168422
31,ACC,CD31,3.0440500241168422
32,ACC,CD49B,3.0440500241168422
33,ACC,CDK1,3.0440500241168422
34,ACC,CHK1,3.0440500241168422
35,ACC,CHK1_pS345,3.0440500241168427
36,ACC,CHK2,3.0440500241168422
37,ACC,CHK2_pT68,3.0440500241168422
38,ACC,CIAP,3.0440500241168422
39,ACC,CLAUDIN7,3.0440500241168422
40,ACC,COLLAGENVI,3.0440500241168422
41,ACC,CYCLINB1,3.0440500241168422
42,ACC,CYCLIND1,3.0440500241168422
43,ACC,CYCLINE1,3.0440500241168422
44,ACC,DJ1,3.0440500241168422
45,ACC,DVL3,3.044050024116842
46,ACC,ECADHERIN,3.0440500241168422
47,ACC,EEF2,3.0132434827586225
48,ACC,EEF2K,3.013243482758622
49,ACC,EGFR,3.0440500241168422
50,ACC,EGFR_pY1068,3.0440500241168422
51,ACC,EGFR_pY1173,3.0440500241168422
52,ACC,EIF4E,3.0440500241168427
53,ACC,ERALPHA,3.0440500241168422
54,ACC,ERALPHA_pS118,3.0440500241168427
55,ACC,ERK2,3.044050024116842
56,ACC,FIBRONECTIN,3.0440500241168422
57,ACC,FOXO3A,3.0440500241168422
58,ACC,GAB2,3.0440500241168422
59,ACC,GATA3,3.0440500241168422
60,ACC,GSK3ALPHABETA,3.0440500241168422
61,ACC,GSK3ALPHABETA_pS21S9,3.0440500241168422
62,ACC,HER2,3.0440500241168422
63,ACC,HER2_pY1248,3.0440500241168422
64,ACC,HER3,3.0440500241168422
65,ACC,HER3_pY1298,3.0440500241168427
66,ACC,HSP70,3.0440500241168422
67,ACC,IGFBP2,3.0440500241168422
68,ACC,INPP4B,3.0440500241168427
69,ACC,IRS1,3.0132434827586225
70,ACC,JNK_pT183Y185,3.0440500241168422
71,ACC,JNK2,3.0440500241168422
72,ACC,KU80,3.0440500241168422
73,ACC,LCK,3.0440500241168422
74,ACC,LKB1,2.970809204872302
75,ACC,MAPK_pT202Y204,3.0440500241168422
76,ACC,MEK1,3.0440500241168422
77,ACC,MEK1_pS217S221,3.0440500241168422
78,ACC,MIG6,3.0440500241168422
79,ACC,MRE11,3.0440500241168422
80,ACC,MTOR,3.0440500241168422
81,ACC,MTOR_pS2448,3.0440500241168422
82,ACC,NCADHERIN,3.013243482758622
83,ACC,NFKBP65_pS536,3.0440500241168422
84,ACC,NF2,2.9708092048723014
85,ACC,NOTCH1,3.0440500241168422
86,ACC,PCADHERIN,3.0440500241168427
87,ACC,P27,3.0440500241168422
88,ACC,P27_pT157,3.0440500241168427
89,ACC,P38MAPK,3.0440500241168422
90,ACC,P38_pT180Y182,3.044050024116842
91,ACC,P53,3.0440500241168427
92,ACC,P70S6K,3.0440500241168422
93,ACC,P70S6K_pT389,3.0440500241168422
94,ACC,P90RSK_pT359S363,3.0440500241168422
95,ACC,PAI1,3.0440500241168427
96,ACC,PAXILLIN,3.0440500241168422
97,ACC,PCNA,3.0440500241168427
98,ACC,PDK1_pS241,3.0440500241168422
99,ACC,PEA15,3.0440500241168422
100,ACC,PI3KP110ALPHA,3.0440500241168422
101,ACC,PKCALPHA,3.0440500241168422
102,ACC,PKCALPHA_pS657,3.0440500241168422
103,ACC,PKCDELTA_pS664,3.0440500241168422
104,ACC,PR,3.0440500241168422
105,ACC,PRAS40_pT246,3.0440500241168422
106,ACC,PTEN,3.044050024116842
107,ACC,RAD50,3.0440500241168422
108,ACC,RAD51,3.0440500241168422
109,ACC,RB_pS807S811,3.0440500241168422
110,ACC,S6,3.0440500241168422
111,ACC,S6_pS235S236,3.044050024116842
112,ACC,S6_pS240S244,3.0440500241168422
113,ACC,SHC_pY317,3.0440500241168422
114,ACC,SMAD1,3.0440500241168422
