,TumorType,Feature,mi_score
0,BLCA,X1433EPSILON,4.044182728086218
1,BLCA,X4EBP1,4.044182728086218
2,BLCA,X4EBP1_pS65,4.03434440908322
3,BLCA,X4EBP1_pT37T46,4.044182728086218
4,BLCA,X53BP1,4.044182728086218
5,BLCA,ACC_pS79,4.044182728086218
6,BLCA,ACC1,4.044182728086217
7,BLCA,AKT,4.044182728086218
8,BLCA,AKT_pS473,4.044182728086217
9,BLCA,AKT_pT308,4.044182728086218
10,BLCA,AMPKALPHA,4.044182728086218
11,BLCA,AMPK_pT172,4.044182728086218
12,BLCA,AR,4.044182728086218
13,BLCA,ASNS,4.044182728086218
14,BLCA,ATM,4.044182728086217
15,BLCA,BAK,4.0276299595952345
16,BLCA,BAX,4.044182728086217
17,BLCA,BCL2,4.044182728086218
18,BLCA,BCLXL,4.040044535963472
19,BLCA,BECLIN,4.044182728086218
20,BLCA,BETACATENIN,4.044182728086217
21,BLCA,BID,4.044182728086218
22,BLCA,BIM,4.03434440908322
23,BLCA,CJUN_pS73,4.044182728086217
24,BLCA,CKIT,4.044182728086217
25,BLCA,CMET_pY1235,4.044182728086218
26,BLCA,CMYC,4.044182728086218
27,BLCA,CRAF,4.044182728086218
28,BLCA,CRAF_pS338,4.02429945882935
29,BLCA,CASPASE7CLEAVEDD198,4.044182728086217
30,BLCA,CAVEOLIN1,4.044182728086218
31,BLCA,CD31,4.044182728086217
32,BLCA,CD49B,4.044182728086218
33,BLCA,CDK1,4.044182728086218
34,BLCA,CHK1,4.044182728086218
35,BLCA,CHK1_pS345,4.044182728086217
36,BLCA,CHK2,4.044182728086218
37,BLCA,CHK2_pT68,4.044182728086217
38,BLCA,CIAP,4.044182728086217
39,BLCA,CLAUDIN7,4.044182728086218
40,BLCA,COLLAGENVI,4.044182728086217
41,BLCA,CYCLINB1,4.044182728086218
42,BLCA,CYCLIND1,4.040044535963471
43,BLCA,CYCLINE1,4.03434440908322
44,BLCA,DJ1,4.044182728086218
45,BLCA,DVL3,4.044182728086218
46,BLCA,ECADHERIN,4.044182728086217
47,BLCA,EEF2,4.044182728086218
48,BLCA,EEF2K,4.044182728086217
49,BLCA,EGFR,4.040044535963471
50,BLCA,EGFR_pY1068,4.044182728086217
51,BLCA,EGFR_pY1173,4.044182728086218
52,BLCA,EIF4E,4.044182728086217
53,BLCA,ERALPHA,4.044182728086217
54,BLCA,ERALPHA_pS118,4.044182728086218
55,BLCA,ERK2,4.044182728086217
56,BLCA,FIBRONECTIN,4.044182728086217
57,BLCA,FOXO3A,4.044182728086217
58,BLCA,GAB2,4.044182728086217
59,BLCA,GATA3,4.044182728086218
60,BLCA,GSK3ALPHABETA,4.044182728086217
61,BLCA,GSK3ALPHABETA_pS21S9,4.044182728086217
62,BLCA,HER2,4.044182728086217
63,BLCA,HER2_pY1248,4.044182728086217
64,BLCA,HER3,4.044182728086217
65,BLCA,HER3_pY1298,4.044182728086218
66,BLCA,HSP70,4.044182728086218
67,BLCA,IGFBP2,4.044182728086217
68,BLCA,INPP4B,4.044182728086218
69,BLCA,IRS1,4.040044535963471
70,BLCA,JNK_pT183Y185,4.044182728086218
71,BLCA,JNK2,4.03434440908322
72,BLCA,KU80,4.044182728086217
73,BLCA,LCK,4.044182728086218
74,BLCA,LKB1,4.044182728086218
75,BLCA,MAPK_pT202Y204,4.044182728086218
76,BLCA,MEK1,4.044182728086218
77,BLCA,MEK1_pS217S221,4.044182728086217
78,BLCA,MIG6,4.044182728086217
79,BLCA,MRE11,4.034344409083219
80,BLCA,MTOR,4.044182728086217
81,BLCA,MTOR_pS2448,4.044182728086218
82,BLCA,NCADHERIN,4.044182728086217
83,BLCA,NFKBP65_pS536,4.044182728086217
84,BLCA,NF2,4.044182728086218
85,BLCA,NOTCH1,4.044182728086218
86,BLCA,PCADHERIN,4.044182728086218
87,BLCA,P27,4.044182728086217
88,BLCA,P27_pT157,4.040044535963471
89,BLCA,P38MAPK,4.044182728086218
90,BLCA,P38_pT180Y182,4.044182728086217
91,BLCA,P53,4.044182728086218
92,BLCA,P70S6K,4.044182728086217
93,BLCA,P70S6K_pT389,4.044182728086218
94,BLCA,P90RSK_pT359S363,4.044182728086217
95,BLCA,PAI1,4.044182728086217
96,BLCA,PAXILLIN,4.044182728086218
97,BLCA,PCNA,4.044182728086217
98,BLCA,PDK1_pS241,4.044182728086218
99,BLCA,PEA15,4.044182728086218
100,BLCA,PI3KP110ALPHA,4.03434440908322
101,BLCA,PKCALPHA,4.044182728086217
102,BLCA,PKCALPHA_pS657,4.044182728086217
103,BLCA,PKCDELTA_pS664,4.044182728086217
104,BLCA,PR,4.044182728086218
105,BLCA,PRAS40_pT246,4.03434440908322
106,BLCA,PTEN,4.044182728086217
107,BLCA,RAD50,4.03434440908322
108,BLCA,RAD51,4.044182728086218
109,BLCA,RB_pS807S811,4.044182728086217
110,BLCA,S6,4.044182728086217
111,BLCA,S6_pS235S236,4.044182728086218
112,BLCA,S6_pS240S244,4.044182728086218
113,BLCA,SHC_pY317,4.044182728086218
114,BLCA,SMAD1,4.044182728086218
115,BLCA,SMAD3,4.044182728086218
116,BLCA,SMAD4,4.044182728086217
117,BLCA,SRC,4.044182728086218
118,BLCA,SRC_pY416,4.044182728086217
119,BLCA,SRC_pY527,4.044182728086218
120,BLCA,STAT3_pY705,4.044182728086217
121,BLCA,STAT5ALPHA,4.044182728086217
122,BLCA,STATHMIN,4.044182728086218
123,BLCA,SYK,4.044182728086217
124,BLCA,TUBERIN,4.044182728086217
125,BLCA,VEGFR2,4.044182728086217
126,BLCA,XRCC1,4.044182728086218
127,BLCA,YAP,4.044182728086218
128,BLCA,YAP_pS127,4.044182728086218
129,BLCA,YB1,4.044182728086217
130,BLCA,YB1_pS102,4.03434440908322
131,BLCA,X4EBP1_pT70,4.044182728086217
132,BLCA,ARAF_pS299,4.044182728086217
133,BLCA,ANNEXINVII,4.044182728086218
134,BLCA,ARID1A,1.5166158495074011
135,BLCA,BRAF,4.044182728086218
136,BLCA,BAD_pS112,4.044182728086217
137,BLCA,BAP1C4,4.044182728086217
138,BLCA,BRCA2,1.5414528349663998
139,BLCA,CD20,4.044182728086217
140,BLCA,CYCLINE2,4.044182728086218
141,BLCA,ETS1,4.040044535963472
142,BLCA,EIF4G,4.040044535963472
143,BLCA,FASN,4.044182728086218
144,BLCA,FOXO3A_pS318S321,4.044182728086218
145,BLCA,FOXM1,4.044182728086217
146,BLCA,G6PD,4.044182728086218
147,BLCA,GAPDH,4.044182728086217
148,BLCA,GSK3_pS9,4.044182728086218
149,BLCA,HEREGULIN,4.044182728086217
150,BLCA,MYH11,4.044182728086217
