,TumorType,Feature,mi_score
0,BRCA,X1433EPSILON,4.118240425478778
1,BRCA,X4EBP1,4.112796086842588
2,BRCA,X4EBP1_pS65,4.1041278078316985
3,BRCA,X4EBP1_pT37T46,4.1144080570299355
4,BRCA,X53BP1,4.118240425478778
5,BRCA,ACC_pS79,4.11662845529143
6,BRCA,ACC1,4.118240425478778
7,BRCA,AKT,4.118240425478778
8,BRCA,AKT_pS473,4.11662845529143
9,BRCA,AKT_pT308,4.105344663979988
10,BRCA,AMPKALPHA,4.118240425478778
11,BRCA,AMPK_pT172,4.118240425478778
12,BRCA,AR,4.116628455291429
13,BRCA,ASNS,4.107960176280541
14,BRCA,ATM,4.118240425478778
15,BRCA,BAK,4.118240425478778
16,BRCA,BAX,4.108883228313464
17,BRCA,BCL2,4.105739778019048
18,BRCA,BCLXL,4.118240425478778
19,BRCA,BECLIN,4.118240425478778
20,BRCA,BETACATENIN,4.118240425478778
21,BRCA,BID,4.118240425478778
22,BRCA,BIM,4.107271258126115
23,BRCA,CJUN_pS73,4.118240425478778
24,BRCA,CKIT,4.116628455291429
25,BRCA,CMET_pY1235,4.118240425478778
26,BRCA,CMYC,4.108883228313464
27,BRCA,CRAF,4.118240425478778
28,BRCA,CRAF_pS338,4.093634244598376
29,BRCA,CASPASE7CLEAVEDD198,4.118240425478778
30,BRCA,CAVEOLIN1,4.118240425478778
31,BRCA,CD31,4.11662845529143
32,BRCA,CD49B,4.118240425478778
33,BRCA,CDK1,4.098569253491113
34,BRCA,CHK1,4.108883228313464
35,BRCA,CHK1_pS345,4.075279027089692
36,BRCA,CHK2,4.1144080570299355
37,BRCA,CHK2_pT68,4.118240425478778
38,BRCA,CIAP,4.111792544729383
39,BRCA,CLAUDIN7,4.116628455291429
40,BRCA,COLLAGENVI,4.118240425478778
41,BRCA,CYCLINB1,4.111184116655238
42,BRCA,CYCLIND1,4.098569253491113
43,BRCA,CYCLINE1,4.118240425478778
44,BRCA,DJ1,4.118240425478778
45,BRCA,DVL3,4.105739778019047
46,BRCA,ECADHERIN,4.118240425478778
47,BRCA,EEF2,4.118240425478778
48,BRCA,EEF2K,4.11501648510408
49,BRCA,EGFR,4.1012184914157785
50,BRCA,EGFR_pY1068,4.118240425478778
51,BRCA,EGFR_pY1173,4.118240425478778
52,BRCA,EIF4E,4.111792544729383
53,BRCA,ERALPHA,4.118240425478778
54,BRCA,ERALPHA_pS118,4.11501648510408
55,BRCA,ERK2,4.118240425478778
56,BRCA,FIBRONECTIN,4.118240425478778
57,BRCA,FOXO3A,4.104013592127304
58,BRCA,GAB2,4.102401621939955
59,BRCA,GATA3,4.118240425478778
60,BRCA,GSK3ALPHABETA,4.118240425478778
61,BRCA,GSK3ALPHABETA_pS21S9,4.118240425478778
62,BRCA,HER2,4.11501648510408
63,BRCA,HER2_pY1248,4.116628455291429
64,BRCA,HER3,4.112796086842587
65,BRCA,HER3_pY1298,4.118240425478778
66,BRCA,HSP70,4.1144080570299355
67,BRCA,IGFBP2,4.107271258126115
68,BRCA,INPP4B,4.1144080570299355
69,BRCA,IRS1,4.110575688581093
70,BRCA,JNK_pT183Y185,4.111184116655238
71,BRCA,JNK2,4.112796086842587
72,BRCA,KU80,4.118240425478778
73,BRCA,LCK,4.1144080570299355
74,BRCA,LKB1,4.105625562314653
75,BRCA,MAPK_pT202Y204,4.118240425478778
76,BRCA,MEK1,4.118240425478778
77,BRCA,MEK1_pS217S221,4.107960176280541
78,BRCA,MIG6,4.108963718393745
79,BRCA,MRE11,4.099526031148149
80,BRCA,MTOR,4.118240425478778
81,BRCA,MTOR_pS2448,4.1144080570299355
82,BRCA,NCADHERIN,4.11662845529143
83,BRCA,NFKBP65_pS536,4.112796086842587
84,BRCA,NF2,4.111792544729383
85,BRCA,NOTCH1,4.118240425478778
86,BRCA,PCADHERIN,4.118240425478778
87,BRCA,P27,4.108963718393745
88,BRCA,P27_pT157,4.1134045149167315
89,BRCA,P38MAPK,4.1144080570299355
90,BRCA,P38_pT180Y182,4.111792544729383
91,BRCA,P53,4.118240425478778
92,BRCA,P70S6K,4.118240425478778
93,BRCA,P70S6K_pT389,4.118240425478778
94,BRCA,P90RSK_pT359S363,4.102401621939956
95,BRCA,PAI1,4.107960176280541
96,BRCA,PAXILLIN,4.094770610666384
97,BRCA,PCNA,4.11662845529143
98,BRCA,PDK1_pS241,4.118240425478778
99,BRCA,PEA15,4.098896783230593
100,BRCA,PI3KP110ALPHA,4.102435347564069
101,BRCA,PKCALPHA,4.118240425478778
102,BRCA,PKCALPHA_pS657,4.1144080570299355
103,BRCA,PKCDELTA_pS664,4.118240425478778
104,BRCA,PR,4.1144080570299355
105,BRCA,PRAS40_pT246,4.1144080570299355
106,BRCA,PTEN,4.110180574542034
107,BRCA,RAD50,4.1144080570299355
108,BRCA,RAD51,4.118240425478778
109,BRCA,RB_pS807S811,4.1089637183937455
110,BRCA,S6,4.112796086842587
111,BRCA,S6_pS235S236,4.1144080570299355
112,BRCA,S6_pS240S244,4.116628455291429
113,BRCA,SHC_pY317,4.118240425478778
114,BRCA,SMAD1,4.107271258126115
115,BRCA,SMAD3,4.1144080570299355
116,BRCA,SMAD4,4.095246214785725
117,BRCA,SRC,4.116628455291429
118,BRCA,SRC_pY416,4.1144080570299355
119,BRCA,SRC_pY527,4.111792544729383
120,BRCA,STAT3_pY705,4.1144080570299355
121,BRCA,STAT5ALPHA,4.11662845529143
122,BRCA,STATHMIN,4.111184116655238
123,BRCA,SYK,4.11662845529143
124,BRCA,TUBERIN,4.108883228313464
125,BRCA,VEGFR2,4.118240425478778
126,BRCA,XRCC1,4.108883228313464
127,BRCA,YAP,4.102401621939955
128,BRCA,YAP_pS127,4.118240425478778
129,BRCA,YB1,4.118240425478778
130,BRCA,YB1_pS102,4.107960176280541
131,BRCA,X4EBP1_pT70,4.105739778019047
132,BRCA,ARAF_pS299,4.118240425478778
133,BRCA,ANNEXINVII,4.1144080570299355
134,BRCA,ARID1A,3.454789755488573
135,BRCA,BRAF,4.118240425478778
136,BRCA,BAD_pS112,4.107351748206396
137,BRCA,BAP1C4,4.0821089830460915
138,BRCA,BRCA2,4.066614059553963
139,BRCA,CD20,4.097565711377909
140,BRCA,CYCLINE2,4.105050859864621
141,BRCA,ETS1,4.0879276158779305
142,BRCA,EIF4G,4.105739778019047
143,BRCA,FASN,4.118240425478778
144,BRCA,FOXO3A_pS318S321,4.118240425478778
145,BRCA,FOXM1,4.118240425478778
146,BRCA,G6PD,4.116628455291429
147,BRCA,GAPDH,4.118240425478778
148,BRCA,GSK3_pS9,4.1144080570299355
149,BRCA,HEREGULIN,4.118240425478778
150,BRCA,MYH11,4.118240425478778
151,BRCA,MYOSINIIA_pS1943,4.118240425478778
152,BRCA,NRAS,4.118240425478778
153,BRCA,NDRG1_pT346,4.116628455291429
154,BRCA,P21,4.110495198500812
155,BRCA,P27_pT198,4.0979140609608
156,BRCA,P90RSK,4.112796086842587
157,BRCA,PDCD4,4.1104951985008125
158,BRCA,PDK1,4.083172195396165
159,BRCA,PEA15_pS116,4.1104951985008125
160,BRCA,PI3KP85,4.118240425478778
161,BRCA,PKCPANBETAII_pS660,4.113404514916732
162,BRCA,PRDX1,4.118240425478778
163,BRCA,RAB11,4.116628455291429
164,BRCA,RAB25,4.118240425478778
165,BRCA,RAPTOR,4.118240425478778
166,BRCA,RBM15,4.118240425478778
167,BRCA,RICTOR,4.1041278078316985
168,BRCA,RICTOR_pT1135,4.118240425478778
169,BRCA,SCD1,4.118240425478778
170,BRCA,SF2,4.0709524462711
171,BRCA,TAZ,4.103438889677272
172,BRCA,TIGAR,4.118240425478778
173,BRCA,TRANSGLUTAMINASE,4.118240425478778
174,BRCA,TFRC,4.116628455291429
175,BRCA,TSC1,4.118240425478778
176,BRCA,TUBERIN_pT1462,4.111184116655238
177,BRCA,VHL,4.118240425478778
178,BRCA,XBP1,4.118240425478778
179,BRCA,ACETYLATUBULINLYS40,4.118240425478778
180,BRCA,P62LCKLIGAND,4.118240425478778
181,BRCA,X1433BETA,4.1182404254787786
182,BRCA,X1433ZETA,4.118240425478778
183,BRCA,ACVRL1,4.118240425478778
184,BRCA,DIRAS3,4.118240425478778
185,BRCA,ANNEXIN1,4.118240425478778
186,BRCA,PREX1,4.11662845529143
187,BRCA,ERCC1,4.1144080570299355
