,TumorType,Feature,mi_score
0,CESC,X1433EPSILON,3.573994737335322
1,CESC,X4EBP1,3.5739947373353216
2,CESC,X4EBP1_pS65,3.573994737335322
3,CESC,X4EBP1_pT37T46,3.5739947373353216
4,CESC,X53BP1,3.573994737335322
5,CESC,ACC_pS79,3.573994737335322
6,CESC,ACC1,3.573994737335322
7,CESC,AKT,3.573994737335322
8,CESC,AKT_pS473,3.5739947373353225
9,CESC,AKT_pT308,3.5654898639542187
10,CESC,AMPKALPHA,3.5739947373353216
11,CESC,AMPK_pT172,3.5739947373353225
12,CESC,AR,3.5654898639542183
13,CESC,ASNS,3.5739947373353216
14,CESC,ATM,3.5739947373353225
15,CESC,BAK,3.573994737335322
16,CESC,BAX,3.573994737335322
17,CESC,BCL2,3.5739947373353225
18,CESC,BCLXL,3.5399752438109076
19,CESC,BECLIN,3.5739947373353216
20,CESC,BETACATENIN,3.573994737335322
21,CESC,BID,3.573994737335322
22,CESC,BIM,3.573994737335322
23,CESC,CJUN_pS73,3.5739947373353225
24,CESC,CKIT,3.5739947373353225
25,CESC,CMET_pY1235,3.5654898639542187
26,CESC,CMYC,3.5331303495988156
27,CESC,CRAF,3.5739947373353225
28,CESC,CRAF_pS338,3.573994737335322
29,CESC,CASPASE7CLEAVEDD198,3.5739947373353216
30,CESC,CAVEOLIN1,3.573994737335322
31,CESC,CD31,3.5739947373353225
32,CESC,CD49B,3.5739947373353225
33,CESC,CDK1,3.5739947373353225
34,CESC,CHK1,3.5739947373353216
35,CESC,CHK1_pS345,3.5739947373353225
36,CESC,CHK2,3.573994737335322
37,CESC,CHK2_pT68,3.5080404010447186
38,CESC,CIAP,3.5739947373353225
39,CESC,CLAUDIN7,3.573994737335322
40,CESC,COLLAGENVI,3.5484801171920113
41,CESC,CYCLINB1,3.573994737335322
42,CESC,CYCLIND1,3.5739947373353225
43,CESC,CYCLINE1,3.5739947373353225
44,CESC,DJ1,3.573994737335322
45,CESC,DVL3,3.5654898639542187
46,CESC,ECADHERIN,3.5739947373353225
47,CESC,EEF2,3.5654898639542187
48,CESC,EEF2K,3.5739947373353225
49,CESC,EGFR,3.5654898639542187
50,CESC,EGFR_pY1068,3.5739947373353225
51,CESC,EGFR_pY1173,3.573994737335322
52,CESC,EIF4E,3.573994737335322
53,CESC,ERALPHA,3.573994737335322
54,CESC,ERALPHA_pS118,3.5739947373353225
55,CESC,ERK2,3.5739947373353216
56,CESC,FIBRONECTIN,3.5739947373353225
57,CESC,FOXO3A,3.5739947373353225
58,CESC,GAB2,3.573994737335322
59,CESC,GATA3,3.573994737335322
60,CESC,GSK3ALPHABETA,3.5654898639542187
61,CESC,GSK3ALPHABETA_pS21S9,3.573994737335322
62,CESC,HER2,3.5739947373353225
63,CESC,HER2_pY1248,3.5537748792616757
64,CESC,HER3,3.5739947373353225
65,CESC,HER3_pY1298,3.5739947373353216
66,CESC,HSP70,3.573994737335322
67,CESC,IGFBP2,3.5739947373353225
68,CESC,INPP4B,3.5739947373353216
69,CESC,IRS1,3.5739947373353225
70,CESC,JNK_pT183Y185,3.5739947373353216
71,CESC,JNK2,3.573994737335322
72,CESC,KU80,3.573994737335322
73,CESC,LCK,3.573994737335322
74,CESC,LKB1,3.573994737335322
75,CESC,MAPK_pT202Y204,3.5739947373353225
76,CESC,MEK1,3.5739947373353225
77,CESC,MEK1_pS217S221,3.5739947373353225
78,CESC,MIG6,3.461180462274549
79,CESC,MRE11,3.5399752438109076
80,CESC,MTOR,3.5739947373353216
81,CESC,MTOR_pS2448,3.5739947373353216
82,CESC,NCADHERIN,3.573994737335322
83,CESC,NFKBP65_pS536,3.5739947373353216
84,CESC,NF2,3.5739947373353225
85,CESC,NOTCH1,3.5739947373353225
86,CESC,PCADHERIN,3.5739947373353216
87,CESC,P27,3.5739947373353216
88,CESC,P27_pT157,3.5739947373353216
89,CESC,P38MAPK,3.5739947373353216
90,CESC,P38_pT180Y182,3.573994737335322
91,CESC,P53,3.5739947373353225
92,CESC,P70S6K,3.5739947373353225
93,CESC,P70S6K_pT389,3.5739947373353216
94,CESC,P90RSK_pT359S363,3.573994737335322
95,CESC,PAI1,3.573994737335322
96,CESC,PAXILLIN,3.5654898639542183
97,CESC,PCNA,3.573994737335322
98,CESC,PDK1_pS241,3.5739947373353225
99,CESC,PEA15,3.573994737335322
100,CESC,PI3KP110ALPHA,3.5080404010447186
101,CESC,PKCALPHA,3.573994737335322
102,CESC,PKCALPHA_pS657,3.5739947373353225
103,CESC,PKCDELTA_pS664,3.573994737335322
104,CESC,PR,3.5739947373353216
105,CESC,PRAS40_pT246,3.5537748792616757
106,CESC,PTEN,3.573994737335322
107,CESC,RAD50,3.5739947373353225
108,CESC,RAD51,3.573994737335322
109,CESC,RB_pS807S811,3.5739947373353225
110,CESC,S6,3.5739947373353225
111,CESC,S6_pS235S236,3.5739947373353216
112,CESC,S6_pS240S244,3.573994737335322
113,CESC,SHC_pY317,3.573994737335322
114,CESC,SMAD1,3.5739947373353225
115,CESC,SMAD3,3.573994737335322
116,CESC,SMAD4,3.573994737335322
117,CESC,SRC,3.5739947373353225
118,CESC,SRC_pY416,3.5739947373353216
119,CESC,SRC_pY527,3.573994737335322
120,CESC,STAT3_pY705,3.5080404010447186
121,CESC,STAT5ALPHA,3.573994737335322
122,CESC,STATHMIN,3.573994737335322
123,CESC,SYK,3.573994737335322
124,CESC,TUBERIN,3.573994737335322
125,CESC,VEGFR2,3.5739947373353225
126,CESC,XRCC1,3.490428043817609
127,CESC,YAP,3.573994737335322
128,CESC,YAP_pS127,3.573994737335322
129,CESC,YB1,3.5739947373353225
130,CESC,YB1_pS102,3.5739947373353225
131,CESC,X4EBP1_pT70,3.5739947373353225
132,CESC,ARAF_pS299,3.573994737335322
133,CESC,ANNEXINVII,3.5537748792616757
134,CESC,ARID1A,0.0
135,CESC,BRAF,3.573994737335322
