,TumorType,Feature,mi_score
0,CHOL,X1433EPSILON,2.996635675779215
1,CHOL,X4EBP1,2.996635675779215
2,CHOL,X4EBP1_pS65,2.9966356757792147
3,CHOL,X4EBP1_pT37T46,2.996635675779215
4,CHOL,X53BP1,2.9966356757792147
5,CHOL,ACC_pS79,2.996635675779215
6,CHOL,ACC1,2.996635675779215
7,CHOL,AKT,2.9966356757792143
8,CHOL,AKT_pS473,2.9966356757792143
9,CHOL,AKT_pT308,2.9966356757792147
10,CHOL,AMPKALPHA,2.996635675779215
11,CHOL,AMPK_pT172,2.9966356757792143
12,CHOL,AR,2.9966356757792147
13,CHOL,ASNS,2.9966356757792147
14,CHOL,ATM,2.996635675779215
15,CHOL,BAK,2.996635675779215
16,CHOL,BAX,2.9966356757792147
17,CHOL,BCL2,2.9966356757792143
18,CHOL,BCLXL,2.9966356757792147
19,CHOL,BECLIN,2.996635675779215
20,CHOL,BETACATENIN,2.9966356757792147
21,CHOL,BID,2.9966356757792147
22,CHOL,BIM,2.9966356757792143
23,CHOL,CJUN_pS73,2.9966356757792143
24,CHOL,CKIT,2.9966356757792147
25,CHOL,CMET_pY1235,2.9966356757792147
26,CHOL,CMYC,2.9966356757792143
27,CHOL,CRAF,2.9966356757792147
28,CHOL,CRAF_pS338,2.996635675779215
29,CHOL,CASPASE7CLEAVEDD198,2.9966356757792147
30,CHOL,CAVEOLIN1,2.996635675779215
31,CHOL,CD31,2.9966356757792143
32,CHOL,CD49B,2.9966356757792147
33,CHOL,CDK1,2.996635675779215
34,CHOL,CHK1,2.9966356757792147
35,CHOL,CHK1_pS345,2.9966356757792143
36,CHOL,CHK2,2.996635675779215
37,CHOL,CHK2_pT68,2.9966356757792143
38,CHOL,CIAP,2.9966356757792147
39,CHOL,CLAUDIN7,2.9966356757792147
40,CHOL,COLLAGENVI,2.9966356757792147
41,CHOL,CYCLINB1,2.9966356757792147
42,CHOL,CYCLIND1,2.9966356757792147
43,CHOL,CYCLINE1,2.9966356757792147
44,CHOL,DJ1,2.9966356757792147
45,CHOL,DVL3,2.996635675779215
46,CHOL,ECADHERIN,2.9966356757792147
47,CHOL,EEF2,2.9966356757792147
48,CHOL,EEF2K,2.996635675779215
49,CHOL,EGFR,2.996635675779215
50,CHOL,EGFR_pY1068,2.9966356757792143
51,CHOL,EGFR_pY1173,2.9966356757792147
52,CHOL,EIF4E,2.9966356757792143
53,CHOL,ERALPHA,2.9966356757792147
54,CHOL,ERALPHA_pS118,2.9966356757792147
55,CHOL,ERK2,2.996635675779215
56,CHOL,FIBRONECTIN,2.9966356757792143
57,CHOL,FOXO3A,2.9966356757792147
58,CHOL,GAB2,2.9966356757792143
59,CHOL,GATA3,2.996635675779215
60,CHOL,GSK3ALPHABETA,2.9966356757792143
