,TumorType,Feature,mi_score
0,DLBC,X1433EPSILON,3.060562356770618
1,DLBC,X4EBP1,3.0605623567706175
2,DLBC,X4EBP1_pS65,3.0605623567706175
3,DLBC,X4EBP1_pT37T46,3.0605623567706175
4,DLBC,X53BP1,3.0605623567706175
5,DLBC,ACC_pS79,3.0605623567706175
6,DLBC,ACC1,3.0605623567706175
7,DLBC,AKT,3.060562356770618
8,DLBC,AKT_pS473,3.0605623567706175
9,DLBC,AKT_pT308,3.0605623567706175
10,DLBC,AMPKALPHA,3.060562356770618
11,DLBC,AMPK_pT172,3.060562356770618
12,DLBC,AR,3.0605623567706175
13,DLBC,ASNS,3.060562356770618
14,DLBC,ATM,3.0605623567706184
15,DLBC,BAK,3.060562356770618
16,DLBC,BAX,3.0605623567706175
17,DLBC,BCL2,3.0605623567706175
18,DLBC,BCLXL,3.060562356770618
19,DLBC,BECLIN,3.060562356770618
20,DLBC,BETACATENIN,3.060562356770618
21,DLBC,BID,3.060562356770618
22,DLBC,BIM,3.060562356770618
23,DLBC,CJUN_pS73,3.060562356770618
24,DLBC,CKIT,3.060562356770618
25,DLBC,CMET_pY1235,3.0605623567706175
26,DLBC,CMYC,3.0605623567706175
27,DLBC,CRAF,3.060562356770618
28,DLBC,CRAF_pS338,3.0605623567706184
29,DLBC,CASPASE7CLEAVEDD198,3.0605623567706175
30,DLBC,CAVEOLIN1,3.0605623567706175
31,DLBC,CD31,3.060562356770618
32,DLBC,CD49B,3.060562356770618
33,DLBC,CDK1,3.060562356770618
34,DLBC,CHK1,3.0605623567706175
35,DLBC,CHK1_pS345,3.060562356770618
36,DLBC,CHK2,3.0605623567706184
37,DLBC,CHK2_pT68,3.060562356770618
38,DLBC,CIAP,3.0605623567706175
39,DLBC,CLAUDIN7,3.0605623567706184
40,DLBC,COLLAGENVI,3.0605623567706175
41,DLBC,CYCLINB1,3.060562356770618
42,DLBC,CYCLIND1,3.060562356770618
43,DLBC,CYCLINE1,3.0605623567706175
44,DLBC,DJ1,3.060562356770618
45,DLBC,DVL3,3.0605623567706175
46,DLBC,ECADHERIN,3.060562356770618
47,DLBC,EEF2,3.060562356770618
48,DLBC,EEF2K,3.0605623567706184
49,DLBC,EGFR,3.060562356770618
50,DLBC,EGFR_pY1068,3.060562356770618
51,DLBC,EGFR_pY1173,3.060562356770618
52,DLBC,EIF4E,3.060562356770618
53,DLBC,ERALPHA,3.060562356770618
54,DLBC,ERALPHA_pS118,3.0605623567706175
55,DLBC,ERK2,3.060562356770618
56,DLBC,FIBRONECTIN,3.060562356770618
57,DLBC,FOXO3A,3.0605623567706175
58,DLBC,GAB2,3.060562356770618
59,DLBC,GATA3,3.060562356770618
60,DLBC,GSK3ALPHABETA,3.0605623567706175
61,DLBC,GSK3ALPHABETA_pS21S9,3.060562356770618
62,DLBC,HER2,3.060562356770618
63,DLBC,HER2_pY1248,3.0605623567706175
64,DLBC,HER3,3.060562356770618
65,DLBC,HER3_pY1298,3.060562356770618
66,DLBC,HSP70,3.0605623567706175
67,DLBC,IGFBP2,3.060562356770618
68,DLBC,INPP4B,3.0605623567706175
69,DLBC,IRS1,3.060562356770618
70,DLBC,JNK_pT183Y185,3.060562356770618
71,DLBC,JNK2,3.060562356770618
72,DLBC,KU80,3.0605623567706184
73,DLBC,LCK,3.0605623567706175
74,DLBC,LKB1,3.0605623567706175
75,DLBC,MAPK_pT202Y204,3.0605623567706175
76,DLBC,MEK1,3.0605623567706175
77,DLBC,MEK1_pS217S221,3.060562356770618
78,DLBC,MIG6,3.0605623567706175
79,DLBC,MRE11,3.060562356770618
80,DLBC,MTOR,3.0605623567706175
81,DLBC,MTOR_pS2448,3.060562356770618
82,DLBC,NCADHERIN,3.0605623567706175
83,DLBC,NFKBP65_pS536,3.060562356770618
84,DLBC,NF2,3.060562356770618
85,DLBC,NOTCH1,3.0605623567706175
86,DLBC,PCADHERIN,3.060562356770618
87,DLBC,P27,3.0605623567706175
88,DLBC,P27_pT157,3.0605623567706175
89,DLBC,P38MAPK,3.060562356770618
90,DLBC,P38_pT180Y182,3.0605623567706175
91,DLBC,P53,3.060562356770618
92,DLBC,P70S6K,3.060562356770618
93,DLBC,P70S6K_pT389,3.060562356770618
94,DLBC,P90RSK_pT359S363,3.060562356770618
95,DLBC,PAI1,3.060562356770618
96,DLBC,PAXILLIN,3.060562356770618
97,DLBC,PCNA,3.060562356770618
98,DLBC,PDK1_pS241,3.0605623567706175
99,DLBC,PEA15,3.0605623567706175
100,DLBC,PI3KP110ALPHA,3.060562356770618
101,DLBC,PKCALPHA,3.0605623567706175
102,DLBC,PKCALPHA_pS657,3.060562356770618
103,DLBC,PKCDELTA_pS664,3.060562356770618
104,DLBC,PR,3.0605623567706175
105,DLBC,PRAS40_pT246,3.060562356770618
106,DLBC,PTEN,3.0605623567706175
107,DLBC,RAD50,3.060562356770618
108,DLBC,RAD51,3.060562356770618
109,DLBC,RB_pS807S811,3.060562356770618
110,DLBC,S6,3.060562356770618
111,DLBC,S6_pS235S236,3.0605623567706184
112,DLBC,S6_pS240S244,3.060562356770618
113,DLBC,SHC_pY317,3.060562356770618
114,DLBC,SMAD1,3.0605623567706175
115,DLBC,SMAD3,3.0605623567706175
116,DLBC,SMAD4,3.060562356770618
117,DLBC,SRC,3.060562356770618
118,DLBC,SRC_pY416,3.0605623567706175
119,DLBC,SRC_pY527,3.0605623567706175
120,DLBC,STAT3_pY705,3.0605623567706175
