,TumorType,Feature,mi_score
0,GBM,X1433EPSILON,2.9623887009220455
1,GBM,X4EBP1,2.968140959681879
2,GBM,X4EBP1_pS65,2.9347501316230797
3,GBM,X4EBP1_pT37T46,2.968140959681879
4,GBM,X53BP1,2.968140959681879
5,GBM,ACC_pS79,2.9566364421622118
6,GBM,ACC1,2.968140959681879
7,GBM,AKT,2.968140959681879
8,GBM,AKT_pS473,2.968140959681879
9,GBM,AKT_pT308,2.968140959681879
10,GBM,AMPKALPHA,2.968140959681879
11,GBM,AMPK_pT172,2.968140959681879
12,GBM,AR,2.968140959681879
13,GBM,ASNS,2.9347501316230797
14,GBM,ATM,2.968140959681879
15,GBM,BAK,2.968140959681879
16,GBM,BAX,2.9623887009220455
17,GBM,BCL2,2.968140959681879
18,GBM,BCLXL,2.968140959681879
19,GBM,BECLIN,2.968140959681879
20,GBM,BETACATENIN,2.968140959681879
21,GBM,BID,2.968140959681879
22,GBM,BIM,2.9681409596818793
23,GBM,CJUN_pS73,2.968140959681879
24,GBM,CKIT,2.968140959681879
25,GBM,CMET_pY1235,2.9681409596818793
26,GBM,CMYC,2.968140959681879
27,GBM,CRAF,2.968140959681879
28,GBM,CRAF_pS338,2.968140959681879
29,GBM,CASPASE7CLEAVEDD198,2.968140959681879
30,GBM,CAVEOLIN1,2.968140959681879
31,GBM,CD31,2.968140959681879
32,GBM,CD49B,2.9602175467985408
33,GBM,CDK1,2.968140959681879
34,GBM,CHK1,2.968140959681879
35,GBM,CHK1_pS345,2.968140959681879
36,GBM,CHK2,2.968140959681879
37,GBM,CHK2_pT68,2.968140959681879
38,GBM,CIAP,2.968140959681879
39,GBM,CLAUDIN7,2.968140959681879
40,GBM,COLLAGENVI,2.968140959681879
41,GBM,CYCLINB1,2.962388700922045
42,GBM,CYCLIND1,2.9681409596818793
43,GBM,CYCLINE1,2.968140959681879
44,GBM,DJ1,2.968140959681879
45,GBM,DVL3,2.9451319246425447
46,GBM,ECADHERIN,2.968140959681879
47,GBM,EEF2,2.968140959681879
48,GBM,EEF2K,2.9544652880387074
49,GBM,EGFR,2.968140959681879
50,GBM,EGFR_pY1068,2.968140959681879
51,GBM,EGFR_pY1173,2.968140959681879
52,GBM,EIF4E,2.968140959681879
53,GBM,ERALPHA,2.968140959681879
54,GBM,ERALPHA_pS118,2.9681409596818793
55,GBM,ERK2,2.968140959681879
56,GBM,FIBRONECTIN,2.968140959681879
57,GBM,FOXO3A,2.968140959681879
58,GBM,GAB2,2.968140959681879
59,GBM,GATA3,2.968140959681879
60,GBM,GSK3ALPHABETA,2.968140959681879
61,GBM,GSK3ALPHABETA_pS21S9,2.968140959681879
62,GBM,HER2,2.968140959681879
63,GBM,HER2_pY1248,2.968140959681879
64,GBM,HER3,2.968140959681879
65,GBM,HER3_pY1298,2.968140959681879
66,GBM,HSP70,2.9623887009220455
67,GBM,IGFBP2,2.9623887009220455
68,GBM,INPP4B,2.968140959681879
69,GBM,IRS1,2.968140959681879
70,GBM,JNK_pT183Y185,2.9451319246425447
71,GBM,JNK2,2.968140959681879
72,GBM,KU80,2.968140959681879
73,GBM,LCK,2.962388700922045
74,GBM,LKB1,2.968140959681879
75,GBM,MAPK_pT202Y204,2.9623887009220455
76,GBM,MEK1,2.9405023903829135
77,GBM,MEK1_pS217S221,2.923532840116035
78,GBM,MIG6,2.881702492643279
79,GBM,MRE11,2.9451319246425447
80,GBM,MTOR,2.9566364421622118
81,GBM,MTOR_pS2448,2.968140959681879
82,GBM,NCADHERIN,2.9681409596818793
83,GBM,NFKBP65_pS536,2.9623887009220455
84,GBM,NF2,2.968140959681879
85,GBM,NOTCH1,2.9681409596818793
86,GBM,PCADHERIN,2.968140959681879
87,GBM,P27,2.968140959681879
88,GBM,P27_pT157,2.968140959681879
89,GBM,P38MAPK,2.968140959681879
90,GBM,P38_pT180Y182,2.968140959681879
91,GBM,P53,2.968140959681879
92,GBM,P70S6K,2.968140959681879
93,GBM,P70S6K_pT389,2.968140959681879
94,GBM,P90RSK_pT359S363,2.968140959681879
95,GBM,PAI1,2.9451319246425447
96,GBM,PAXILLIN,2.968140959681879
97,GBM,PCNA,2.9566364421622113
98,GBM,PDK1_pS241,2.9681409596818793
99,GBM,PEA15,2.968140959681879
100,GBM,PI3KP110ALPHA,2.910618372083543
101,GBM,PKCALPHA,2.9623887009220455
102,GBM,PKCALPHA_pS657,2.968140959681879
103,GBM,PKCDELTA_pS664,2.9347501316230806
104,GBM,PR,2.968140959681879
105,GBM,PRAS40_pT246,2.9451319246425447
106,GBM,PTEN,2.968140959681879
107,GBM,RAD50,2.9347501316230797
108,GBM,RAD51,2.968140959681879
109,GBM,RB_pS807S811,2.968140959681879
110,GBM,S6,2.968140959681879
111,GBM,S6_pS235S236,2.962388700922045
112,GBM,S6_pS240S244,2.9623887009220455
