,TumorType,Feature,mi_score
0,HNSC,X1433EPSILON,3.7658876689563403
1,HNSC,X4EBP1,3.7658876689563403
2,HNSC,X4EBP1_pS65,3.759125257438682
3,HNSC,X4EBP1_pT37T46,3.7658876689563408
4,HNSC,X53BP1,3.7658876689563403
5,HNSC,ACC_pS79,3.7658876689563408
6,HNSC,ACC1,3.7658876689563403
7,HNSC,AKT,3.7658876689563408
8,HNSC,AKT_pS473,3.7658876689563403
9,HNSC,AKT_pT308,3.7658876689563403
10,HNSC,AMPKALPHA,3.7658876689563403
11,HNSC,AMPK_pT172,3.7658876689563408
12,HNSC,AR,3.7658876689563403
13,HNSC,ASNS,3.7658876689563403
14,HNSC,ATM,3.7658876689563403
15,HNSC,BAK,3.7658876689563408
16,HNSC,BAX,3.7658876689563403
17,HNSC,BCL2,3.7658876689563408
18,HNSC,BCLXL,3.7388380228857083
19,HNSC,BECLIN,3.6694241509269454
20,HNSC,BETACATENIN,3.765887668956341
21,HNSC,BID,3.669424150926946
22,HNSC,BIM,3.759125257438683
23,HNSC,CJUN_pS73,3.7658876689563403
24,HNSC,CKIT,3.7658876689563408
25,HNSC,CMET_pY1235,3.7658876689563408
26,HNSC,CMYC,3.7658876689563403
27,HNSC,CRAF,3.7658876689563403
28,HNSC,CRAF_pS338,3.6994419565495735
29,HNSC,CASPASE7CLEAVEDD198,3.765887668956341
30,HNSC,CAVEOLIN1,3.7658876689563403
31,HNSC,CD31,3.7658876689563408
32,HNSC,CD49B,3.7658876689563408
33,HNSC,CDK1,3.7591252574386824
34,HNSC,CHK1,3.759125257438683
35,HNSC,CHK1_pS345,3.7658876689563403
36,HNSC,CHK2,3.7658876689563408
37,HNSC,CHK2_pT68,3.7658876689563403
38,HNSC,CIAP,3.7658876689563403
39,HNSC,CLAUDIN7,3.7658876689563403
40,HNSC,COLLAGENVI,3.7658876689563408
41,HNSC,CYCLINB1,3.7498104159514414
42,HNSC,CYCLIND1,3.6761865624446033
43,HNSC,CYCLINE1,3.749810415951441
44,HNSC,DJ1,3.7658876689563403
45,HNSC,DVL3,3.7388380228857088
46,HNSC,ECADHERIN,3.7658876689563403
47,HNSC,EEF2,3.7266330857262404
48,HNSC,EEF2K,3.7658876689563408
49,HNSC,EGFR,3.7388380228857088
50,HNSC,EGFR_pY1068,3.7658876689563403
51,HNSC,EGFR_pY1173,3.765887668956341
52,HNSC,EIF4E,3.7658876689563403
53,HNSC,ERALPHA,3.7658876689563403
54,HNSC,ERALPHA_pS118,3.7658876689563403
55,HNSC,ERK2,3.7658876689563403
56,HNSC,FIBRONECTIN,3.7658876689563403
57,HNSC,FOXO3A,3.7658876689563408
58,HNSC,GAB2,3.7388380228857088
59,HNSC,GATA3,3.7658876689563403
60,HNSC,GSK3ALPHABETA,3.7658876689563408
61,HNSC,GSK3ALPHABETA_pS21S9,3.759125257438683
62,HNSC,HER2,3.7591252574386824
63,HNSC,HER2_pY1248,3.7658876689563408
64,HNSC,HER3,3.7591252574386824
65,HNSC,HER3_pY1298,3.759125257438683
66,HNSC,HSP70,3.759125257438683
67,HNSC,IGFBP2,3.7658876689563403
68,HNSC,INPP4B,3.7658876689563408
69,HNSC,IRS1,3.7658876689563403
70,HNSC,JNK_pT183Y185,3.7658876689563403
71,HNSC,JNK2,3.76588766895634
72,HNSC,KU80,3.7658876689563408
73,HNSC,LCK,3.749810415951441
74,HNSC,LKB1,3.7658876689563408
75,HNSC,MAPK_pT202Y204,3.7658876689563403
76,HNSC,MEK1,3.7658876689563403
77,HNSC,MEK1_pS217S221,3.7658876689563403
78,HNSC,MIG6,3.7658876689563403
79,HNSC,MRE11,3.699441956549574
80,HNSC,MTOR,3.7658876689563403
81,HNSC,MTOR_pS2448,3.7658876689563403
82,HNSC,NCADHERIN,3.765887668956341
83,HNSC,NFKBP65_pS536,3.7658876689563408
84,HNSC,NF2,3.7658876689563403
85,HNSC,NOTCH1,3.7658876689563403
86,HNSC,PCADHERIN,3.7658876689563408
87,HNSC,P27,3.7658876689563403
88,HNSC,P27_pT157,3.7658876689563403
89,HNSC,P38MAPK,3.7658876689563403
90,HNSC,P38_pT180Y182,3.759125257438683
91,HNSC,P53,3.7591252574386824
92,HNSC,P70S6K,3.7591252574386824
93,HNSC,P70S6K_pT389,3.765887668956341
94,HNSC,P90RSK_pT359S363,3.7658876689563408
95,HNSC,PAI1,3.7658876689563403
96,HNSC,PAXILLIN,3.759125257438683
97,HNSC,PCNA,3.7134459283935684
98,HNSC,PDK1_pS241,3.7658876689563408
99,HNSC,PEA15,3.7658876689563403
100,HNSC,PI3KP110ALPHA,3.7658876689563403
101,HNSC,PKCALPHA,3.7658876689563403
102,HNSC,PKCALPHA_pS657,3.7658876689563403
103,HNSC,PKCDELTA_pS664,3.7658876689563408
104,HNSC,PR,3.7658876689563408
105,HNSC,PRAS40_pT246,3.7266330857262404
106,HNSC,PTEN,3.7658876689563408
107,HNSC,RAD50,3.7658876689563403
108,HNSC,RAD51,3.6915011422621022
109,HNSC,RB_pS807S811,3.7498104159514414
110,HNSC,S6,3.7658876689563403
111,HNSC,S6_pS235S236,3.759125257438683
112,HNSC,S6_pS240S244,3.759125257438683
113,HNSC,SHC_pY317,3.7658876689563403
114,HNSC,SMAD1,3.726633085726241
115,HNSC,SMAD3,3.7658876689563408
116,HNSC,SMAD4,3.7658876689563403
117,HNSC,SRC,3.7658876689563408
118,HNSC,SRC_pY416,3.7658876689563408
119,HNSC,SRC_pY527,3.7658876689563403
120,HNSC,STAT3_pY705,3.7658876689563403
121,HNSC,STAT5ALPHA,3.7591252574386824
122,HNSC,STATHMIN,3.7658876689563403
123,HNSC,SYK,3.7658876689563408
124,HNSC,TUBERIN,3.7658876689563408
125,HNSC,VEGFR2,3.7658876689563408
126,HNSC,XRCC1,3.726633085726241
127,HNSC,YAP,3.7658876689563403
128,HNSC,YAP_pS127,3.7658876689563403
129,HNSC,YB1,3.7658876689563403
130,HNSC,YB1_pS102,3.7658876689563403
131,HNSC,X4EBP1_pT70,3.7658876689563408
132,HNSC,ARAF_pS299,3.7658876689563408
133,HNSC,ANNEXINVII,3.765887668956341
134,HNSC,ARID1A,3.7658876689563408
