,TumorType,Feature,mi_score
0,KICH,X1433EPSILON,1.5610803867502605
1,KICH,X4EBP1,1.56108038675026
2,KICH,X4EBP1_pS65,1.56108038675026
3,KICH,X4EBP1_pT37T46,1.5610803867502605
4,KICH,X53BP1,1.5610803867502603
5,KICH,ACC_pS79,1.5610803867502605
6,KICH,ACC1,1.56108038675026
7,KICH,AKT,1.5610803867502607
8,KICH,AKT_pS473,1.5610803867502605
9,KICH,AKT_pT308,1.5610803867502603
10,KICH,AMPKALPHA,1.5610803867502605
11,KICH,AMPK_pT172,1.5610803867502605
12,KICH,AR,1.5390757143515323
13,KICH,ASNS,1.5610803867502603
14,KICH,ATM,1.5610803867502603
15,KICH,BAK,1.5610803867502607
16,KICH,BAX,1.56108038675026
17,KICH,BCL2,1.5610803867502603
18,KICH,BCLXL,1.5610803867502603
19,KICH,BECLIN,1.5610803867502605
20,KICH,BETACATENIN,1.5610803867502607
21,KICH,BID,1.5610803867502605
22,KICH,BIM,1.56108038675026
23,KICH,CJUN_pS73,1.5610803867502605
24,KICH,CKIT,1.5610803867502603
25,KICH,CMET_pY1235,1.5610803867502605
26,KICH,CMYC,1.5610803867502605
27,KICH,CRAF,1.56108038675026
28,KICH,CRAF_pS338,1.5610803867502605
29,KICH,CASPASE7CLEAVEDD198,1.5610803867502607
30,KICH,CAVEOLIN1,1.56108038675026
31,KICH,CD31,1.5610803867502603
32,KICH,CD49B,1.5610803867502607
33,KICH,CDK1,1.5610803867502605
34,KICH,CHK1,1.5610803867502607
35,KICH,CHK1_pS345,1.5610803867502607
36,KICH,CHK2,1.5610803867502603
37,KICH,CHK2_pT68,1.5610803867502605
38,KICH,CIAP,1.56108038675026
39,KICH,CLAUDIN7,1.5610803867502603
40,KICH,COLLAGENVI,1.5610803867502603
41,KICH,CYCLINB1,1.5610803867502603
42,KICH,CYCLIND1,1.5610803867502605
43,KICH,CYCLINE1,1.5610803867502603
44,KICH,DJ1,1.5610803867502603
45,KICH,DVL3,1.5610803867502605
46,KICH,ECADHERIN,1.5610803867502605
47,KICH,EEF2,1.5610803867502603
48,KICH,EEF2K,1.5610803867502605
49,KICH,EGFR,1.5610803867502603
50,KICH,EGFR_pY1068,1.5610803867502607
51,KICH,EGFR_pY1173,1.5610803867502603
52,KICH,EIF4E,1.4950663695540751
53,KICH,ERALPHA,1.5610803867502605
54,KICH,ERALPHA_pS118,1.5610803867502605
55,KICH,ERK2,1.56108038675026
56,KICH,FIBRONECTIN,1.5610803867502603
57,KICH,FOXO3A,1.5610803867502607
58,KICH,GAB2,1.5610803867502603
59,KICH,GATA3,1.5610803867502603
60,KICH,GSK3ALPHABETA,1.5610803867502605
61,KICH,GSK3ALPHABETA_pS21S9,1.5610803867502605
62,KICH,HER2,1.5610803867502603
63,KICH,HER2_pY1248,1.5610803867502603
64,KICH,HER3,1.5610803867502605
65,KICH,HER3_pY1298,1.5610803867502605
66,KICH,HSP70,1.5610803867502605
67,KICH,IGFBP2,1.5610803867502605
68,KICH,INPP4B,1.5610803867502603
69,KICH,IRS1,1.5610803867502605
70,KICH,JNK_pT183Y185,1.5610803867502605
71,KICH,JNK2,1.5390757143515321
72,KICH,KU80,1.56108038675026
73,KICH,LCK,1.5610803867502605
74,KICH,LKB1,1.5610803867502605
75,KICH,MAPK_pT202Y204,1.5610803867502607
76,KICH,MEK1,1.5610803867502605
77,KICH,MEK1_pS217S221,1.5610803867502605
78,KICH,MIG6,1.5610803867502605
79,KICH,MRE11,1.5610803867502605
80,KICH,MTOR,1.5610803867502603
81,KICH,MTOR_pS2448,1.5610803867502607
82,KICH,NCADHERIN,1.5610803867502605
83,KICH,NFKBP65_pS536,1.5610803867502607
84,KICH,NF2,1.5610803867502605
85,KICH,NOTCH1,1.5610803867502605
86,KICH,PCADHERIN,1.5610803867502605
87,KICH,P27,1.5610803867502603
88,KICH,P27_pT157,1.5610803867502605
89,KICH,P38MAPK,1.5610803867502605
90,KICH,P38_pT180Y182,1.5610803867502605
91,KICH,P53,1.5610803867502605
92,KICH,P70S6K,1.5610803867502603
93,KICH,P70S6K_pT389,1.5610803867502607
94,KICH,P90RSK_pT359S363,1.5610803867502607
95,KICH,PAI1,1.56108038675026
96,KICH,PAXILLIN,1.5610803867502603
97,KICH,PCNA,1.5610803867502598
98,KICH,PDK1_pS241,1.5610803867502603
99,KICH,PEA15,1.5610803867502603
100,KICH,PI3KP110ALPHA,1.539075714351532
101,KICH,PKCALPHA,1.56108038675026
102,KICH,PKCALPHA_pS657,1.56108038675026
103,KICH,PKCDELTA_pS664,1.5610803867502603
104,KICH,PR,1.5610803867502605
105,KICH,PRAS40_pT246,1.5610803867502607
106,KICH,PTEN,1.5610803867502605
107,KICH,RAD50,1.5610803867502605
108,KICH,RAD51,1.5610803867502605
109,KICH,RB_pS807S811,1.5610803867502605
110,KICH,S6,1.5610803867502598
111,KICH,S6_pS235S236,1.5610803867502607
112,KICH,S6_pS240S244,1.5610803867502605
113,KICH,SHC_pY317,1.5610803867502603
