,TumorType,Feature,mi_score
0,KIRC,X1433EPSILON,2.5605609552640223
1,KIRC,X4EBP1,2.6416665604677085
2,KIRC,X4EBP1_pS65,2.611863897375759
3,KIRC,X4EBP1_pT37T46,2.650970549468513
4,KIRC,X53BP1,2.654071879135447
5,KIRC,ACC_pS79,2.654071879135448
6,KIRC,ACC1,2.654071879135448
7,KIRC,AKT,2.654071879135447
8,KIRC,AKT_pS473,2.650970549468513
9,KIRC,AKT_pT308,2.6497999719656837
10,KIRC,AMPKALPHA,2.654071879135448
11,KIRC,AMPK_pT172,2.6540718791354476
12,KIRC,AR,2.6331227461281803
13,KIRC,ASNS,2.6331227461281808
14,KIRC,ATM,2.654071879135448
15,KIRC,BAK,2.5839118742987743
16,KIRC,BAX,2.654071879135448
17,KIRC,BCL2,2.6540718791354476
18,KIRC,BCLXL,2.646698642298749
19,KIRC,BECLIN,2.654071879135448
20,KIRC,BETACATENIN,2.654071879135447
21,KIRC,BID,2.6540718791354476
22,KIRC,BIM,2.654071879135448
23,KIRC,CJUN_pS73,2.6540718791354476
24,KIRC,CKIT,2.654071879135448
25,KIRC,CMET_pY1235,2.654071879135447
26,KIRC,CMYC,2.6540718791354476
27,KIRC,CRAF,2.570371498747109
28,KIRC,CRAF_pS338,2.6540718791354476
29,KIRC,CASPASE7CLEAVEDD198,2.6540718791354476
30,KIRC,CAVEOLIN1,2.6540718791354476
31,KIRC,CD31,2.6540718791354476
32,KIRC,CD49B,2.654071879135448
33,KIRC,CDK1,2.654071879135447
34,KIRC,CHK1,2.6540718791354476
35,KIRC,CHK1_pS345,2.544395075346938
36,KIRC,CHK2,2.654071879135448
37,KIRC,CHK2_pT68,2.6540718791354476
38,KIRC,CIAP,2.6540718791354476
39,KIRC,CLAUDIN7,2.654071879135448
40,KIRC,COLLAGENVI,2.654071879135448
41,KIRC,CYCLINB1,2.6540718791354476
42,KIRC,CYCLIND1,2.654071879135448
43,KIRC,CYCLINE1,2.654071879135448
44,KIRC,DJ1,2.654071879135448
45,KIRC,DVL3,2.654071879135448
46,KIRC,ECADHERIN,2.654071879135448
47,KIRC,EEF2,2.654071879135448
48,KIRC,EEF2K,2.6129337877821905
49,KIRC,EGFR,2.6360692179225387
50,KIRC,EGFR_pY1068,2.6540718791354476
51,KIRC,EGFR_pY1173,2.593126147397698
52,KIRC,EIF4E,2.612911073972912
53,KIRC,ERALPHA,2.6540718791354476
54,KIRC,ERALPHA_pS118,2.6540718791354476
55,KIRC,ERK2,2.6540718791354476
56,KIRC,FIBRONECTIN,2.646698642298749
