,TumorType,Feature,mi_score
0,KIRP,X1433EPSILON,1.9495012963622256
1,KIRP,X4EBP1,1.9298839233275105
2,KIRP,X4EBP1_pS65,1.949501296362226
3,KIRP,X4EBP1_pT37T46,1.949501296362226
4,KIRP,X53BP1,1.949501296362226
5,KIRP,ACC_pS79,1.9495012963622258
6,KIRP,ACC1,1.9495012963622256
7,KIRP,AKT,1.949501296362226
8,KIRP,AKT_pS473,1.9495012963622258
9,KIRP,AKT_pT308,1.949501296362226
10,KIRP,AMPKALPHA,1.949501296362226
11,KIRP,AMPK_pT172,1.949501296362226
12,KIRP,AR,1.9429621720173205
13,KIRP,ASNS,1.9495012963622258
14,KIRP,ATM,1.9495012963622258
15,KIRP,BAK,1.9495012963622258
16,KIRP,BAX,1.9495012963622258
17,KIRP,BCL2,1.9495012963622256
18,KIRP,BCLXL,1.949501296362226
19,KIRP,BECLIN,1.9495012963622258
20,KIRP,BETACATENIN,1.9495012963622258
21,KIRP,BID,1.949501296362226
22,KIRP,BIM,1.942962172017321
23,KIRP,CJUN_pS73,1.949501296362226
24,KIRP,CKIT,1.9495012963622256
25,KIRP,CMET_pY1235,1.949501296362226
26,KIRP,CMYC,1.9495012963622258
27,KIRP,CRAF,1.9495012963622258
28,KIRP,CRAF_pS338,1.949501296362226
29,KIRP,CASPASE7CLEAVEDD198,1.942962172017321
30,KIRP,CAVEOLIN1,1.949501296362226
31,KIRP,CD31,1.9495012963622258
32,KIRP,CD49B,1.9495012963622258
33,KIRP,CDK1,1.9495012963622258
34,KIRP,CHK1,1.9495012963622256
35,KIRP,CHK1_pS345,1.949501296362226
36,KIRP,CHK2,1.9495012963622258
37,KIRP,CHK2_pT68,1.9495012963622258
38,KIRP,CIAP,1.949501296362226
39,KIRP,CLAUDIN7,1.949501296362226
40,KIRP,COLLAGENVI,1.949501296362226
41,KIRP,CYCLINB1,1.949501296362226
42,KIRP,CYCLIND1,1.9495012963622256
43,KIRP,CYCLINE1,1.949501296362226
44,KIRP,DJ1,1.949501296362226
45,KIRP,DVL3,1.8917886705024745
46,KIRP,ECADHERIN,1.9495012963622258
47,KIRP,EEF2,1.949501296362226
48,KIRP,EEF2K,1.9388911992939466
49,KIRP,EGFR,1.9232079874885621
50,KIRP,EGFR_pY1068,1.949501296362226
51,KIRP,EGFR_pY1173,1.9180819793761381
52,KIRP,EIF4E,1.942962172017321
53,KIRP,ERALPHA,1.9495012963622258
54,KIRP,ERALPHA_pS118,1.949501296362226
55,KIRP,ERK2,1.949501296362226
56,KIRP,FIBRONECTIN,1.942962172017321
57,KIRP,FOXO3A,1.9495012963622258
58,KIRP,GAB2,1.9495012963622258
59,KIRP,GATA3,1.949501296362226
60,KIRP,GSK3ALPHABETA,1.9388911992939466
61,KIRP,GSK3ALPHABETA_pS21S9,1.9495012963622256
62,KIRP,HER2,1.949501296362226
63,KIRP,HER2_pY1248,1.9495012963622258
64,KIRP,HER3,1.949501296362226
65,KIRP,HER3_pY1298,1.9495012963622258
66,KIRP,HSP70,1.9495012963622258
67,KIRP,IGFBP2,1.9495012963622258
68,KIRP,INPP4B,1.9495012963622258
69,KIRP,IRS1,1.9143375230161692
70,KIRP,JNK_pT183Y185,1.942962172017321
71,KIRP,JNK2,1.9495012963622258
72,KIRP,KU80,1.9495012963622258
73,KIRP,LCK,1.933954896050885
74,KIRP,LKB1,1.9208766473610743
75,KIRP,MAPK_pT202Y204,1.9495012963622256
76,KIRP,MEK1,1.949501296362226
77,KIRP,MEK1_pS217S221,1.9495012963622258
78,KIRP,MIG6,1.9495012963622258
79,KIRP,MRE11,1.949501296362226
80,KIRP,MTOR,1.9495012963622256
81,KIRP,MTOR_pS2448,1.9233447989826051
82,KIRP,NCADHERIN,1.9429621720173207
83,KIRP,NFKBP65_pS536,1.949501296362226
84,KIRP,NF2,1.9495012963622258
85,KIRP,NOTCH1,1.949501296362226
86,KIRP,PCADHERIN,1.9495012963622256
87,KIRP,P27,1.936749564035821
88,KIRP,P27_pT157,1.949501296362226
89,KIRP,P38MAPK,1.9495012963622256
90,KIRP,P38_pT180Y182,1.9429621720173207
91,KIRP,P53,1.9495012963622258
92,KIRP,P70S6K,1.9495012963622262
93,KIRP,P70S6K_pT389,1.9495012963622258
94,KIRP,P90RSK_pT359S363,1.9495012963622258
95,KIRP,PAI1,1.9495012963622256
96,KIRP,PAXILLIN,1.9495012963622258
97,KIRP,PCNA,1.949501296362226
98,KIRP,PDK1_pS241,1.949501296362226
99,KIRP,PEA15,1.949501296362226
100,KIRP,PI3KP110ALPHA,1.908990245554357
101,KIRP,PKCALPHA,1.949501296362226
102,KIRP,PKCALPHA_pS657,1.9495012963622258
103,KIRP,PKCDELTA_pS664,1.949501296362226
104,KIRP,PR,1.949501296362226
105,KIRP,PRAS40_pT246,1.949501296362226
106,KIRP,PTEN,1.9495012963622256
107,KIRP,RAD50,1.949501296362226
108,KIRP,RAD51,1.949501296362226
109,KIRP,RB_pS807S811,1.9495012963622258
110,KIRP,S6,1.9495012963622258
111,KIRP,S6_pS235S236,1.949501296362226
112,KIRP,S6_pS240S244,1.9495012963622256
113,KIRP,SHC_pY317,1.949501296362226
114,KIRP,SMAD1,1.9495012963622256
115,KIRP,SMAD3,1.949501296362226
116,KIRP,SMAD4,1.9495012963622256
117,KIRP,SRC,1.949501296362226
118,KIRP,SRC_pY416,1.949501296362226
119,KIRP,SRC_pY527,1.9495012963622258
120,KIRP,STAT3_pY705,1.9495012963622258
121,KIRP,STAT5ALPHA,1.949501296362226
122,KIRP,STATHMIN,1.9495012963622258
123,KIRP,SYK,1.949501296362226
124,KIRP,TUBERIN,1.949501296362226
125,KIRP,VEGFR2,1.949501296362226
126,KIRP,XRCC1,1.9495012963622258
127,KIRP,YAP,1.9429621720173207
128,KIRP,YAP_pS127,1.9495012963622258
129,KIRP,YB1,1.949501296362226
130,KIRP,YB1_pS102,1.9495012963622258
131,KIRP,X4EBP1_pT70,1.9495012963622256
132,KIRP,ARAF_pS299,1.949501296362226
133,KIRP,ANNEXINVII,1.949501296362226
134,KIRP,ARID1A,0.0
135,KIRP,BRAF,1.9495012963622258
136,KIRP,BAD_pS112,1.949501296362226
137,KIRP,BAP1C4,1.9495012963622256
138,KIRP,BRCA2,1.949501296362226
139,KIRP,CD20,1.949501296362226
140,KIRP,CYCLINE2,1.9180819793761381
141,KIRP,ETS1,1.9429621720173207
142,KIRP,EIF4G,1.9339548960508848
143,KIRP,FASN,1.949501296362226
144,KIRP,FOXO3A_pS318S321,1.9183606038869614
145,KIRP,FOXM1,1.949501296362226
146,KIRP,G6PD,1.9495012963622262
147,KIRP,GAPDH,1.949501296362226
148,KIRP,GSK3_pS9,1.9339548960508848
149,KIRP,HEREGULIN,1.9053302470497333
150,KIRP,MYH11,1.949501296362226
151,KIRP,MYOSINIIA_pS1943,1.949501296362226
152,KIRP,NRAS,1.9495012963622256
153,KIRP,NDRG1_pT346,1.949501296362226
154,KIRP,P21,1.9495012963622258
155,KIRP,P27_pT198,1.9249476200844486
156,KIRP,P90RSK,1.9495012963622256
157,KIRP,PDCD4,1.949501296362226
158,KIRP,PDK1,1.9495012963622256
159,KIRP,PEA15_pS116,1.949501296362226
