,TumorType,Feature,mi_score
0,LGG,X1433EPSILON,2.9777677400633125
1,LGG,X4EBP1,2.953111416606159
2,LGG,X4EBP1_pS65,2.9777677400633125
3,LGG,X4EBP1_pT37T46,2.977767740063312
4,LGG,X53BP1,2.9777677400633125
5,LGG,ACC_pS79,2.9702772017314842
6,LGG,ACC1,2.977767740063312
7,LGG,AKT,2.977767740063312
8,LGG,AKT_pS473,2.9746170710607673
9,LGG,AKT_pT308,2.9777677400633125
10,LGG,AMPKALPHA,2.9777677400633125
11,LGG,AMPK_pT172,2.977767740063312
12,LGG,AR,2.9777677400633125
13,LGG,ASNS,2.9746170710607673
14,LGG,ATM,2.9777677400633125
15,LGG,BAK,2.9777677400633125
16,LGG,BAX,2.9734278707340294
17,LGG,BCL2,2.9746170710607673
18,LGG,BCLXL,2.9702772017314842
19,LGG,BECLIN,2.962629341879106
20,LGG,BETACATENIN,2.977767740063312
21,LGG,BID,2.977767740063312
22,LGG,BIM,2.9651650640531315
23,LGG,CJUN_pS73,2.977767740063312
24,LGG,CKIT,2.9671265327289396
25,LGG,CMET_pY1235,2.956485325394566
26,LGG,CMYC,2.9777677400633125
27,LGG,CRAF,2.977767740063312
28,LGG,CRAF_pS338,2.977767740063312
29,LGG,CASPASE7CLEAVEDD198,2.977767740063312
30,LGG,CAVEOLIN1,2.9702772017314842
31,LGG,CD31,2.9777677400633125
32,LGG,CD49B,2.9746170710607673
33,LGG,CDK1,2.977767740063312
34,LGG,CHK1,2.9608251947238484
35,LGG,CHK1_pS345,2.967126532728939
36,LGG,CHK2,2.9746170710607673
37,LGG,CHK2_pT68,2.9777677400633125
38,LGG,CIAP,2.943465717406718
39,LGG,CLAUDIN7,2.977767740063312
40,LGG,COLLAGENVI,2.9777677400633125
41,LGG,CYCLINB1,2.9777677400633125
42,LGG,CYCLIND1,2.977767740063312
43,LGG,CYCLINE1,2.9777677400633125
44,LGG,DJ1,2.9777677400633125
45,LGG,DVL3,2.9594786728765614
46,LGG,ECADHERIN,2.977767740063312
47,LGG,EEF2,2.9241216962484433
48,LGG,EEF2K,2.971466402058222
49,LGG,EGFR,2.977767740063312
50,LGG,EGFR_pY1068,2.9777677400633125
51,LGG,EGFR_pY1173,2.9474909436949
52,LGG,EIF4E,2.977767740063312
53,LGG,ERALPHA,2.977767740063312
54,LGG,ERALPHA_pS118,2.9285210114143174
55,LGG,ERK2,2.977767740063312
56,LGG,FIBRONECTIN,2.9702772017314842
57,LGG,FOXO3A,2.977767740063312
58,LGG,GAB2,2.977767740063312
59,LGG,GATA3,2.9777677400633125
60,LGG,GSK3ALPHABETA,2.9777677400633125
61,LGG,GSK3ALPHABETA_pS21S9,2.977767740063312
62,LGG,HER2,2.9777677400633125
63,LGG,HER2_pY1248,2.977767740063312
64,LGG,HER3,2.977767740063313
65,LGG,HER3_pY1298,2.9777677400633125
66,LGG,HSP70,2.967126532728939
67,LGG,IGFBP2,2.97342787073403
68,LGG,INPP4B,2.977767740063312
69,LGG,IRS1,2.9651650640531315
