,TumorType,Feature,mi_score
0,LIHC,X1433EPSILON,3.5780008298493096
1,LIHC,X4EBP1,3.5780008298493096
2,LIHC,X4EBP1_pS65,3.5780008298493096
3,LIHC,X4EBP1_pT37T46,3.5780008298493096
4,LIHC,X53BP1,3.5780008298493096
5,LIHC,ACC_pS79,3.5780008298493096
6,LIHC,ACC1,3.5780008298493096
7,LIHC,AKT,3.558949749698996
8,LIHC,AKT_pS473,3.5780008298493096
9,LIHC,AKT_pT308,3.5780008298493096
10,LIHC,AMPKALPHA,3.57800082984931
11,LIHC,AMPK_pT172,3.5780008298493096
12,LIHC,AR,3.5699875676463044
13,LIHC,ASNS,3.5780008298493096
14,LIHC,ATM,3.5780008298493096
15,LIHC,BAK,3.5780008298493096
16,LIHC,BAX,3.5780008298493096
17,LIHC,BCL2,3.5780008298493096
18,LIHC,BCLXL,3.5780008298493096
19,LIHC,BECLIN,3.57800082984931
20,LIHC,BETACATENIN,3.5780008298493096
21,LIHC,BID,3.5780008298493096
22,LIHC,BIM,3.5699875676463044
23,LIHC,CJUN_pS73,3.5780008298493096
24,LIHC,CKIT,3.5780008298493096
25,LIHC,CMET_pY1235,3.5699875676463044
26,LIHC,CMYC,3.5780008298493096
27,LIHC,CRAF,3.5780008298493096
28,LIHC,CRAF_pS338,3.5780008298493096
29,LIHC,CASPASE7CLEAVEDD198,3.5780008298493096
30,LIHC,CAVEOLIN1,3.5780008298493096
31,LIHC,CD31,3.5780008298493096
32,LIHC,CD49B,3.545947781037289
33,LIHC,CDK1,3.5780008298493096
34,LIHC,CHK1,3.5780008298493096
35,LIHC,CHK1_pS345,3.5699875676463044
36,LIHC,CHK2,3.5780008298493096
37,LIHC,CHK2_pT68,3.5780008298493096
38,LIHC,CIAP,3.545947781037289
39,LIHC,CLAUDIN7,3.5780008298493096
40,LIHC,COLLAGENVI,3.5780008298493096
41,LIHC,CYCLINB1,3.5780008298493096
42,LIHC,CYCLIND1,3.5780008298493096
43,LIHC,CYCLINE1,3.5780008298493096
44,LIHC,DJ1,3.5699875676463044
45,LIHC,DVL3,3.5780008298493096
46,LIHC,ECADHERIN,3.5699875676463044
47,LIHC,EEF2,3.5780008298493096
48,LIHC,EEF2K,3.5699875676463044
49,LIHC,EGFR,3.5780008298493096
50,LIHC,EGFR_pY1068,3.5780008298493096
51,LIHC,EGFR_pY1173,3.515858882939666
52,LIHC,EIF4E,3.5589497496989955
53,LIHC,ERALPHA,3.5780008298493096
54,LIHC,ERALPHA_pS118,3.5699875676463044
55,LIHC,ERK2,3.5780008298493096
56,LIHC,FIBRONECTIN,3.5780008298493096
57,LIHC,FOXO3A,3.5780008298493096
58,LIHC,GAB2,3.57800082984931
59,LIHC,GATA3,3.5589497496989955
60,LIHC,GSK3ALPHABETA,3.5780008298493096
61,LIHC,GSK3ALPHABETA_pS21S9,3.5780008298493096
62,LIHC,HER2,3.5780008298493096
63,LIHC,HER2_pY1248,3.5699875676463044
64,LIHC,HER3,3.5780008298493096
65,LIHC,HER3_pY1298,3.5780008298493096
66,LIHC,HSP70,3.5780008298493096
67,LIHC,IGFBP2,3.5780008298493096
68,LIHC,INPP4B,3.5780008298493096
69,LIHC,IRS1,3.57800082984931
70,LIHC,JNK_pT183Y185,3.5780008298493096
71,LIHC,JNK2,3.545947781037289
72,LIHC,KU80,3.5780008298493096
73,LIHC,LCK,3.5780008298493096
74,LIHC,LKB1,3.5780008298493096
75,LIHC,MAPK_pT202Y204,3.5780008298493096
