,TumorType,Feature,mi_score
0,LUAD,X1433EPSILON,3.9977444524028196
1,LUAD,X4EBP1,3.9676308478779783
2,LUAD,X4EBP1_pS65,3.9938612749206905
3,LUAD,X4EBP1_pT37T46,3.9977444524028187
4,LUAD,X53BP1,3.9977444524028196
5,LUAD,ACC_pS79,3.9977444524028196
6,LUAD,ACC1,3.997744452402819
7,LUAD,AKT,3.99774445240282
8,LUAD,AKT_pS473,3.99774445240282
9,LUAD,AKT_pT308,3.99774445240282
10,LUAD,AMPKALPHA,3.99774445240282
11,LUAD,AMPK_pT172,3.99774445240282
12,LUAD,AR,3.997744452402819
13,LUAD,ASNS,3.9938612749206914
14,LUAD,ATM,3.9977444524028196
15,LUAD,BAK,3.9977444524028196
16,LUAD,BAX,3.99774445240282
17,LUAD,BCL2,3.9977444524028196
18,LUAD,BCLXL,3.9676308478779783
19,LUAD,BECLIN,3.915992467630718
20,LUAD,BETACATENIN,3.997744452402819
21,LUAD,BID,3.908226112666461
22,LUAD,BIM,3.997744452402819
23,LUAD,CJUN_pS73,3.9977444524028196
24,LUAD,CKIT,3.99774445240282
25,LUAD,CMET_pY1235,3.997744452402819
26,LUAD,CMYC,3.9977444524028196
27,LUAD,CRAF,3.9977444524028196
28,LUAD,CRAF_pS338,3.99774445240282
29,LUAD,CASPASE7CLEAVEDD198,3.997744452402819
30,LUAD,CAVEOLIN1,3.9977444524028196
31,LUAD,CD31,3.9977444524028196
32,LUAD,CD49B,3.988512416363592
33,LUAD,CDK1,3.99774445240282
34,LUAD,CHK1,3.99774445240282
35,LUAD,CHK1_pS345,3.9977444524028196
36,LUAD,CHK2,3.9977444524028196
37,LUAD,CHK2_pT68,3.99774445240282
38,LUAD,CIAP,3.9977444524028196
39,LUAD,CLAUDIN7,3.997744452402819
40,LUAD,COLLAGENVI,3.9977444524028196
41,LUAD,CYCLINB1,3.997744452402819
42,LUAD,CYCLIND1,3.9410126254904925
43,LUAD,CYCLINE1,3.997744452402819
44,LUAD,DJ1,3.9977444524028196
45,LUAD,DVL3,3.9885124163635917
46,LUAD,ECADHERIN,3.9977444524028196
47,LUAD,EEF2,3.9634725289230794
48,LUAD,EEF2K,3.9977444524028196
49,LUAD,EGFR,3.9822117424743055
50,LUAD,EGFR_pY1068,3.9977444524028196
51,LUAD,EGFR_pY1173,3.9977444524028196
52,LUAD,EIF4E,3.9938612749206905
53,LUAD,ERALPHA,3.99774445240282
54,LUAD,ERALPHA_pS118,3.9977444524028196
55,LUAD,ERK2,3.997744452402819
56,LUAD,FIBRONECTIN,3.9977444524028196
57,LUAD,FOXO3A,3.9977444524028196
58,LUAD,GAB2,3.993861274920691
59,LUAD,GATA3,3.99774445240282
60,LUAD,GSK3ALPHABETA,3.9977444524028196
61,LUAD,GSK3ALPHABETA_pS21S9,3.9977444524028196
62,LUAD,HER2,3.99774445240282
63,LUAD,HER2_pY1248,3.9977444524028196
64,LUAD,HER3,3.9977444524028196
65,LUAD,HER3_pY1298,3.99774445240282
66,LUAD,HSP70,3.9938612749206914
67,LUAD,IGFBP2,3.9885124163635917
68,LUAD,INPP4B,3.9822117424743055
69,LUAD,IRS1,3.997744452402819
70,LUAD,JNK_pT183Y185,3.9977444524028196
71,LUAD,JNK2,3.997744452402819
72,LUAD,KU80,3.9977444524028196
73,LUAD,LCK,3.9885124163635917
74,LUAD,LKB1,3.99774445240282
75,LUAD,MAPK_pT202Y204,3.99774445240282
76,LUAD,MEK1,3.99774445240282
77,LUAD,MEK1_pS217S221,3.9977444524028196
78,LUAD,MIG6,3.9938612749206905
79,LUAD,MRE11,3.951146322617277
80,LUAD,MTOR,3.99774445240282
81,LUAD,MTOR_pS2448,3.975203305169849
82,LUAD,NCADHERIN,3.9977444524028196
83,LUAD,NFKBP65_pS536,3.9977444524028196
84,LUAD,NF2,3.9977444524028196
85,LUAD,NOTCH1,3.99774445240282
86,LUAD,PCADHERIN,3.99774445240282
87,LUAD,P27,3.99774445240282
88,LUAD,P27_pT157,3.997744452402819
89,LUAD,P38MAPK,3.9977444524028196
90,LUAD,P38_pT180Y182,3.975203305169849
91,LUAD,P53,3.9977444524028196
92,LUAD,P70S6K,3.9977444524028196
93,LUAD,P70S6K_pT389,3.9977444524028196
94,LUAD,P90RSK_pT359S363,3.997744452402819
95,LUAD,PAI1,3.99774445240282
96,LUAD,PAXILLIN,3.9885124163635917
97,LUAD,PCNA,3.993861274920691
98,LUAD,PDK1_pS241,3.997744452402819
99,LUAD,PEA15,3.99774445240282
100,LUAD,PI3KP110ALPHA,3.997744452402819
101,LUAD,PKCALPHA,3.997744452402819
102,LUAD,PKCALPHA_pS657,3.9977444524028196
103,LUAD,PKCDELTA_pS664,3.99774445240282
104,LUAD,PR,3.997744452402819
105,LUAD,PRAS40_pT246,3.9676308478779783
106,LUAD,PTEN,3.9977444524028196
107,LUAD,RAD50,3.9977444524028196
108,LUAD,RAD51,3.9634725289230794
109,LUAD,RB_pS807S811,3.99774445240282
110,LUAD,S6,3.9977444524028196
111,LUAD,S6_pS235S236,3.9885124163635917
112,LUAD,S6_pS240S244,3.9977444524028196
113,LUAD,SHC_pY317,3.997744452402819
114,LUAD,SMAD1,3.9938612749206914
115,LUAD,SMAD3,3.9885124163635917
116,LUAD,SMAD4,3.99774445240282
117,LUAD,SRC,3.99774445240282
118,LUAD,SRC_pY416,3.997744452402819
119,LUAD,SRC_pY527,3.997744452402819
120,LUAD,STAT3_pY705,3.99774445240282
121,LUAD,STAT5ALPHA,3.993861274920691
122,LUAD,STATHMIN,3.99774445240282
123,LUAD,SYK,3.99774445240282
124,LUAD,TUBERIN,3.997744452402819
125,LUAD,VEGFR2,3.9977444524028196
126,LUAD,XRCC1,3.959589351440951
127,LUAD,YAP,3.997744452402819
128,LUAD,YAP_pS127,3.99774445240282
129,LUAD,YB1,3.99774445240282
130,LUAD,YB1_pS102,3.9977444524028196
131,LUAD,X4EBP1_pT70,3.997744452402819
132,LUAD,ARAF_pS299,3.9977444524028196
133,LUAD,ANNEXINVII,3.9977444524028196
134,LUAD,ARID1A,2.7316644376256765
135,LUAD,BRAF,3.99774445240282
136,LUAD,BAD_pS112,3.9371294480083643
137,LUAD,BAP1C4,3.9822117424743055
138,LUAD,BRCA2,2.7130064678748345
139,LUAD,CD20,3.9938612749206914
140,LUAD,CYCLINE2,3.9822117424743055
141,LUAD,ETS1,3.99774445240282
142,LUAD,EIF4G,3.997744452402819
143,LUAD,FASN,3.9977444524028196
144,LUAD,FOXO3A_pS318S321,3.9595893514409504
145,LUAD,FOXM1,3.997744452402819
146,LUAD,G6PD,3.9977444524028196
147,LUAD,GAPDH,3.9977444524028196
148,LUAD,GSK3_pS9,3.9923955938457203
149,LUAD,HEREGULIN,3.99774445240282
150,LUAD,MYH11,3.9977444524028196
151,LUAD,MYOSINIIA_pS1943,3.9977444524028196
152,LUAD,NRAS,3.9977444524028196
153,LUAD,NDRG1_pT346,3.993861274920691
154,LUAD,P21,3.9977444524028196
155,LUAD,P27_pT198,3.942352236167453
156,LUAD,P90RSK,3.9885124163635917
157,LUAD,PDCD4,3.9977444524028196
158,LUAD,PDK1,3.997744452402819
159,LUAD,PEA15_pS116,3.99774445240282
160,LUAD,PI3KP85,3.9822117424743055
161,LUAD,PKCPANBETAII_pS660,3.9977444524028196
162,LUAD,PRDX1,3.99774445240282
163,LUAD,RAB11,3.959589351440951
164,LUAD,RAB25,3.99774445240282
165,LUAD,RAPTOR,3.99774445240282
166,LUAD,RBM15,3.9977444524028196
167,LUAD,RICTOR,3.997744452402819
168,LUAD,RICTOR_pT1135,3.99774445240282
169,LUAD,SCD1,3.997744452402819
170,LUAD,SF2,3.9977444524028196
171,LUAD,TAZ,3.9676308478779787
172,LUAD,TIGAR,3.997744452402819
173,LUAD,TRANSGLUTAMINASE,3.99774445240282
174,LUAD,TFRC,3.9977444524028196
175,LUAD,TSC1,3.997744452402819
176,LUAD,TUBERIN_pT1462,3.99774445240282
177,LUAD,VHL,3.9977444524028196
178,LUAD,XBP1,3.99774445240282
179,LUAD,ACETYLATUBULINLYS40,3.997744452402819
180,LUAD,P62LCKLIGAND,3.99774445240282
181,LUAD,X1433BETA,3.99774445240282
182,LUAD,X1433ZETA,3.9977444524028196
183,LUAD,ACVRL1,3.997744452402819
184,LUAD,DIRAS3,3.9885124163635917
185,LUAD,ANNEXIN1,3.9977444524028196
186,LUAD,PREX1,3.997744452402819
187,LUAD,ERCC1,3.99774445240282
188,LUAD,MSH2,3.9977444524028196
189,LUAD,MSH6,3.997744452402819
190,LUAD,SMAC,3.9977444524028196
191,LUAD,ADAR1,1.4179931258820604
192,LUAD,ALPHACATENIN,1.4179931258820604
193,LUAD,TTF1,1.4179931258820604
194,LUAD,CASPASE3,0.0
195,LUAD,CASPASE9,0.0
196,LUAD,PARP1,1.4179931258820604
197,LUAD,JAB1,1.4179931258820604
