,TumorType,Feature,mi_score
0,LUSC,X1433EPSILON,3.9967623317080827
1,LUSC,X4EBP1,3.9967623317080827
2,LUSC,X4EBP1_pS65,3.996762331708083
3,LUSC,X4EBP1_pT37T46,3.9967623317080827
4,LUSC,X53BP1,3.996762331708083
5,LUSC,ACC_pS79,3.9967623317080827
6,LUSC,ACC1,3.9967623317080827
7,LUSC,AKT,3.996762331708083
8,LUSC,AKT_pS473,3.9967623317080827
9,LUSC,AKT_pT308,3.9924836454083303
10,LUSC,AMPKALPHA,3.9967623317080827
11,LUSC,AMPK_pT172,3.9967623317080827
12,LUSC,AR,3.9967623317080827
13,LUSC,ASNS,3.9967623317080827
14,LUSC,ATM,3.996762331708083
15,LUSC,BAK,3.9967623317080827
16,LUSC,BAX,3.996762331708083
17,LUSC,BCL2,3.9967623317080827
18,LUSC,BCLXL,3.979647586509072
19,LUSC,BECLIN,3.9796475865090715
20,LUSC,BETACATENIN,3.9967623317080827
21,LUSC,BID,3.963581600796452
22,LUSC,BIM,3.9924836454083295
23,LUSC,CJUN_pS73,3.9967623317080827
24,LUSC,CKIT,3.9967623317080827
25,LUSC,CMET_pY1235,3.9967623317080827
26,LUSC,CMYC,3.9865899957018964
27,LUSC,CRAF,3.996762331708083
28,LUSC,CRAF_pS338,3.9865899957018964
29,LUSC,CASPASE7CLEAVEDD198,3.9967623317080827
30,LUSC,CAVEOLIN1,3.9967623317080827
31,LUSC,CD31,3.9967623317080827
32,LUSC,CD49B,3.99248364540833
33,LUSC,CDK1,3.9967623317080827
34,LUSC,CHK1,3.9967623317080836
35,LUSC,CHK1_pS345,3.9967623317080827
36,LUSC,CHK2,3.99248364540833
37,LUSC,CHK2_pT68,3.9967623317080827
38,LUSC,CIAP,3.9967623317080827
39,LUSC,CLAUDIN7,3.9967623317080827
40,LUSC,COLLAGENVI,3.996762331708083
41,LUSC,CYCLINB1,3.971925326886569
42,LUSC,CYCLIND1,3.904728752086305
43,LUSC,CYCLINE1,3.9967623317080827
44,LUSC,DJ1,3.9967623317080827
45,LUSC,DVL3,3.9762040131863214
46,LUSC,ECADHERIN,3.9967623317080827
47,LUSC,EEF2,3.9796475865090715
48,LUSC,EEF2K,3.9967623317080827
49,LUSC,EGFR,3.9967623317080827
50,LUSC,EGFR_pY1068,3.9967623317080827
51,LUSC,EGFR_pY1173,3.996762331708083
52,LUSC,EIF4E,3.986589995701897
53,LUSC,ERALPHA,3.9967623317080827
54,LUSC,ERALPHA_pS118,3.9967623317080827
55,LUSC,ERK2,3.9967623317080823
56,LUSC,FIBRONECTIN,3.9967623317080827
57,LUSC,FOXO3A,3.9967623317080827
58,LUSC,GAB2,3.9839262728088243
59,LUSC,GATA3,3.9967623317080827
60,LUSC,GSK3ALPHABETA,3.9967623317080827
61,LUSC,GSK3ALPHABETA_pS21S9,3.9967623317080827
62,LUSC,HER2,3.9967623317080827
63,LUSC,HER2_pY1248,3.996762331708083
64,LUSC,HER3,3.9924836454083303
65,LUSC,HER3_pY1298,3.9865899957018964
66,LUSC,HSP70,3.996762331708083
67,LUSC,IGFBP2,3.996762331708083
68,LUSC,INPP4B,3.9967623317080827
69,LUSC,IRS1,3.996762331708083
70,LUSC,JNK_pT183Y185,3.996762331708083
71,LUSC,JNK2,3.9967623317080827
72,LUSC,KU80,3.9967623317080827
73,LUSC,LCK,3.9400070019707183
74,LUSC,LKB1,3.9967623317080827
75,LUSC,MAPK_pT202Y204,3.9967623317080827
76,LUSC,MEK1,3.9967623317080827
77,LUSC,MEK1_pS217S221,3.9967623317080827
78,LUSC,MIG6,3.996762331708083
79,LUSC,MRE11,3.9357283156709655
80,LUSC,MTOR,3.9967623317080827
81,LUSC,MTOR_pS2448,3.9967623317080827
82,LUSC,NCADHERIN,3.9967623317080827
83,LUSC,NFKBP65_pS536,3.996762331708083
84,LUSC,NF2,3.9967623317080827
85,LUSC,NOTCH1,3.996762331708083
86,LUSC,PCADHERIN,3.996762331708083
87,LUSC,P27,3.9967623317080827
88,LUSC,P27_pT157,3.9324670522133216
89,LUSC,P38MAPK,3.996762331708083
90,LUSC,P38_pT180Y182,3.9967623317080827
91,LUSC,P53,3.9967623317080827
92,LUSC,P70S6K,3.9967623317080827
93,LUSC,P70S6K_pT389,3.996762331708083
94,LUSC,P90RSK_pT359S363,3.9967623317080827
95,LUSC,PAI1,3.9967623317080827
96,LUSC,PAXILLIN,3.9967623317080827
97,LUSC,PCNA,3.9967623317080827
98,LUSC,PDK1_pS241,3.996762331708083
99,LUSC,PEA15,3.9967623317080827
100,LUSC,PI3KP110ALPHA,3.9967623317080827
101,LUSC,PKCALPHA,3.9967623317080827
102,LUSC,PKCALPHA_pS657,3.9967623317080827
103,LUSC,PKCDELTA_pS664,3.9967623317080827
104,LUSC,PR,3.9967623317080827
105,LUSC,PRAS40_pT246,3.979647586509072
106,LUSC,PTEN,3.9967623317080827
107,LUSC,RAD50,3.9967623317080827
108,LUSC,RAD51,3.979647586509072
109,LUSC,RB_pS807S811,3.9967623317080827
110,LUSC,S6,3.9967623317080827
111,LUSC,S6_pS235S236,3.9967623317080827
112,LUSC,S6_pS240S244,3.9967623317080827
113,LUSC,SHC_pY317,3.9967623317080827
114,LUSC,SMAD1,3.971925326886569
115,LUSC,SMAD3,3.996762331708083
116,LUSC,SMAD4,3.9967623317080827
117,LUSC,SRC,3.9967623317080827
118,LUSC,SRC_pY416,3.9967623317080827
119,LUSC,SRC_pY527,3.996762331708083
120,LUSC,STAT3_pY705,3.9967623317080827
121,LUSC,STAT5ALPHA,3.9865899957018964
122,LUSC,STATHMIN,3.9967623317080827
123,LUSC,SYK,3.9967623317080827
124,LUSC,TUBERIN,3.9967623317080827
125,LUSC,VEGFR2,3.9967623317080823
126,LUSC,XRCC1,3.9796475865090724
127,LUSC,YAP,3.996762331708083
128,LUSC,YAP_pS127,3.9967623317080827
129,LUSC,YB1,3.9967623317080827
130,LUSC,YB1_pS102,3.99248364540833
131,LUSC,X4EBP1_pT70,3.9967623317080827
132,LUSC,ARAF_pS299,3.9967623317080827
133,LUSC,ANNEXINVII,3.9967623317080827
134,LUSC,ARID1A,2.4852042929852645
135,LUSC,BRAF,3.9967623317080827
136,LUSC,BAD_pS112,3.976204013186322
137,LUSC,BAP1C4,3.99248364540833
138,LUSC,BRCA2,2.475031956979078
139,LUSC,CD20,3.9967623317080836
140,LUSC,CYCLINE2,3.9796475865090724
141,LUSC,ETS1,3.979647586509072
142,LUSC,EIF4G,3.9967623317080827
143,LUSC,FASN,3.9967623317080827
144,LUSC,FOXO3A_pS318S321,3.9719253268865686
145,LUSC,FOXM1,3.99248364540833
146,LUSC,G6PD,3.996762331708083
147,LUSC,GAPDH,3.9967623317080827
148,LUSC,GSK3_pS9,3.996762331708083
149,LUSC,HEREGULIN,3.9967623317080827
150,LUSC,MYH11,3.9967623317080827
151,LUSC,MYOSINIIA_pS1943,3.9967623317080827
152,LUSC,NRAS,3.9967623317080827
153,LUSC,NDRG1_pT346,3.9967623317080827
154,LUSC,P21,3.979647586509072
155,LUSC,P27_pT198,3.9865899957018973
156,LUSC,P90RSK,3.9924836454083303
157,LUSC,PDCD4,3.9967623317080827
158,LUSC,PDK1,3.9967623317080827
159,LUSC,PEA15_pS116,3.9967623317080827
160,LUSC,PI3KP85,3.9924836454083303
161,LUSC,PKCPANBETAII_pS660,3.9967623317080827
162,LUSC,PRDX1,3.9924836454083303
163,LUSC,RAB11,3.971925326886569
164,LUSC,RAB25,3.996762331708083
165,LUSC,RAPTOR,3.9967623317080827
166,LUSC,RBM15,3.996762331708083
167,LUSC,RICTOR,3.9839262728088247
168,LUSC,RICTOR_pT1135,3.9967623317080827
169,LUSC,SCD1,3.996762331708083
170,LUSC,SF2,3.9967623317080827
171,LUSC,TAZ,3.9865899957018973
172,LUSC,TIGAR,3.9967623317080827
173,LUSC,TRANSGLUTAMINASE,3.9967623317080823
174,LUSC,TFRC,3.9967623317080827
175,LUSC,TSC1,3.9967623317080827
176,LUSC,TUBERIN_pT1462,3.996762331708083
177,LUSC,VHL,3.9967623317080827
178,LUSC,XBP1,3.9967623317080823
179,LUSC,ACETYLATUBULINLYS40,3.9967623317080827
180,LUSC,P62LCKLIGAND,3.9967623317080827
181,LUSC,X1433BETA,3.9967623317080827
182,LUSC,X1433ZETA,3.996762331708083
183,LUSC,ACVRL1,3.9967623317080827
184,LUSC,DIRAS3,3.9865899957018964
185,LUSC,ANNEXIN1,3.9967623317080827
186,LUSC,PREX1,3.9967623317080827
187,LUSC,ERCC1,3.9967623317080827
188,LUSC,MSH2,3.996762331708083
189,LUSC,MSH6,3.9967623317080827
190,LUSC,SMAC,3.9967623317080827
191,LUSC,ADAR1,1.6602933793427894
192,LUSC,ALPHACATENIN,1.6602933793427896
193,LUSC,TTF1,1.6602933793427899
194,LUSC,CASPASE3,0.0
195,LUSC,CASPASE9,0.0
196,LUSC,PARP1,1.6602933793427894
197,LUSC,JAB1,1.6602933793427896
