,TumorType,Feature,mi_score
0,MESO,X1433EPSILON,3.0286253553388702
1,MESO,X4EBP1,3.0286253553388702
2,MESO,X4EBP1_pS65,3.0286253553388702
3,MESO,X4EBP1_pT37T46,3.0286253553388702
4,MESO,X53BP1,3.0286253553388702
5,MESO,ACC_pS79,3.02862535533887
6,MESO,ACC1,3.0286253553388693
7,MESO,AKT,3.0286253553388702
8,MESO,AKT_pS473,3.02862535533887
9,MESO,AKT_pT308,3.0286253553388702
10,MESO,AMPKALPHA,3.0286253553388702
11,MESO,AMPK_pT172,3.0286253553388693
12,MESO,AR,2.9330188476754295
13,MESO,ASNS,3.0286253553388702
14,MESO,ATM,3.0286253553388702
15,MESO,BAK,3.0286253553388702
16,MESO,BAX,3.0286253553388702
17,MESO,BCL2,3.02862535533887
18,MESO,BCLXL,3.0286253553388702
19,MESO,BECLIN,3.00472372842301
20,MESO,BETACATENIN,3.02862535533887
21,MESO,BID,3.0286253553388702
22,MESO,BIM,3.0286253553388702
23,MESO,CJUN_pS73,3.02862535533887
24,MESO,CKIT,3.0286253553388693
25,MESO,CMET_pY1235,3.02862535533887
26,MESO,CMYC,3.0286253553388702
27,MESO,CRAF,3.02862535533887
28,MESO,CRAF_pS338,3.00472372842301
29,MESO,CASPASE7CLEAVEDD198,3.0286253553388702
30,MESO,CAVEOLIN1,3.02862535533887
31,MESO,CD31,3.02862535533887
32,MESO,CD49B,3.0286253553388702
33,MESO,CDK1,3.0286253553388702
34,MESO,CHK1,3.0286253553388702
35,MESO,CHK1_pS345,3.0286253553388693
36,MESO,CHK2,3.00472372842301
37,MESO,CHK2_pT68,3.0286253553388702
38,MESO,CIAP,3.0047237284230093
39,MESO,CLAUDIN7,3.0286253553388702
40,MESO,COLLAGENVI,3.02862535533887
41,MESO,CYCLINB1,3.0286253553388693
42,MESO,CYCLIND1,3.0286253553388702
43,MESO,CYCLINE1,3.02862535533887
44,MESO,DJ1,3.0286253553388702
45,MESO,DVL3,3.0286253553388693
46,MESO,ECADHERIN,3.0286253553388702
47,MESO,EEF2,3.02862535533887
48,MESO,EEF2K,3.0286253553388693
49,MESO,EGFR,3.0286253553388693
50,MESO,EGFR_pY1068,3.0286253553388702
51,MESO,EGFR_pY1173,3.0286253553388702
52,MESO,EIF4E,3.02862535533887
53,MESO,ERALPHA,3.0286253553388702
54,MESO,ERALPHA_pS118,3.0047237284230097
55,MESO,ERK2,3.02862535533887
56,MESO,FIBRONECTIN,3.0286253553388702
57,MESO,FOXO3A,3.0286253553388702
58,MESO,GAB2,3.0286253553388702
59,MESO,GATA3,3.02862535533887
60,MESO,GSK3ALPHABETA,3.02862535533887
61,MESO,GSK3ALPHABETA_pS21S9,3.0286253553388702
62,MESO,HER2,3.02862535533887
63,MESO,HER2_pY1248,3.0286253553388702
64,MESO,HER3,3.0286253553388702
65,MESO,HER3_pY1298,3.0286253553388702
66,MESO,HSP70,3.02862535533887
67,MESO,IGFBP2,3.0286253553388702
68,MESO,INPP4B,3.0286253553388702
69,MESO,IRS1,2.971800581787071
70,MESO,JNK_pT183Y185,3.02862535533887
71,MESO,JNK2,3.0286253553388702
72,MESO,KU80,3.0286253553388702
73,MESO,LCK,3.02862535533887
74,MESO,LKB1,3.0286253553388702
75,MESO,MAPK_pT202Y204,3.0286253553388702
76,MESO,MEK1,3.0286253553388702
77,MESO,MEK1_pS217S221,3.0047237284230097
78,MESO,MIG6,3.0286253553388702
79,MESO,MRE11,3.0286253553388702
80,MESO,MTOR,3.0286253553388702
81,MESO,MTOR_pS2448,3.0286253553388702
82,MESO,NCADHERIN,3.0286253553388702
83,MESO,NFKBP65_pS536,3.0286253553388702
84,MESO,NF2,3.0286253553388702
85,MESO,NOTCH1,3.0286253553388702
86,MESO,PCADHERIN,3.0286253553388702
87,MESO,P27,3.0286253553388693
88,MESO,P27_pT157,3.0286253553388693
89,MESO,P38MAPK,3.0286253553388702
90,MESO,P38_pT180Y182,3.0286253553388702
91,MESO,P53,3.0286253553388693
92,MESO,P70S6K,3.0286253553388702
93,MESO,P70S6K_pT389,3.0286253553388702
94,MESO,P90RSK_pT359S363,3.0286253553388702
95,MESO,PAI1,3.0286253553388693
96,MESO,PAXILLIN,3.02862535533887
97,MESO,PCNA,3.02862535533887
98,MESO,PDK1_pS241,3.02862535533887
99,MESO,PEA15,3.02862535533887
100,MESO,PI3KP110ALPHA,3.0047237284230093
101,MESO,PKCALPHA,3.0286253553388702
102,MESO,PKCALPHA_pS657,3.0286253553388702
103,MESO,PKCDELTA_pS664,3.0286253553388693
104,MESO,PR,3.0286253553388702
105,MESO,PRAS40_pT246,3.00472372842301
106,MESO,PTEN,3.0286253553388702
107,MESO,RAD50,3.0286253553388702
108,MESO,RAD51,3.0286253553388702
109,MESO,RB_pS807S811,3.02862535533887
110,MESO,S6,3.0286253553388707
111,MESO,S6_pS235S236,3.0286253553388693
112,MESO,S6_pS240S244,3.0286253553388702
113,MESO,SHC_pY317,3.0286253553388702
114,MESO,SMAD1,3.0286253553388702
115,MESO,SMAD3,3.0286253553388702
116,MESO,SMAD4,3.02862535533887
117,MESO,SRC,3.02862535533887
118,MESO,SRC_pY416,3.02862535533887
119,MESO,SRC_pY527,3.0286253553388702
120,MESO,STAT3_pY705,3.02862535533887
121,MESO,STAT5ALPHA,3.0286253553388702
122,MESO,STATHMIN,3.0286253553388702
123,MESO,SYK,3.0286253553388693
124,MESO,TUBERIN,3.02862535533887
125,MESO,VEGFR2,3.0286253553388702
126,MESO,XRCC1,3.0286253553388693
127,MESO,YAP,3.0286253553388702
128,MESO,YAP_pS127,3.0286253553388702
129,MESO,YB1,3.0286253553388702
130,MESO,YB1_pS102,3.0286253553388702
131,MESO,X4EBP1_pT70,3.0286253553388702
132,MESO,ARAF_pS299,3.02862535533887
133,MESO,ANNEXINVII,3.0286253553388702
134,MESO,ARID1A,0.0
135,MESO,BRAF,3.0286253553388702
136,MESO,BAD_pS112,3.02862535533887
137,MESO,BAP1C4,3.0286253553388702
138,MESO,BRCA2,3.0286253553388702
139,MESO,CD20,3.0286253553388702
140,MESO,CYCLINE2,3.0286253553388702
141,MESO,ETS1,3.0047237284230097
142,MESO,EIF4G,3.02862535533887
143,MESO,FASN,3.02862535533887
144,MESO,FOXO3A_pS318S321,3.0286253553388702
145,MESO,FOXM1,3.02862535533887
146,MESO,G6PD,3.02862535533887
147,MESO,GAPDH,3.0286253553388702
148,MESO,GSK3_pS9,3.02862535533887
149,MESO,HEREGULIN,3.0286253553388702
150,MESO,MYH11,3.0286253553388702
151,MESO,MYOSINIIA_pS1943,3.02862535533887
152,MESO,NRAS,3.0286253553388702
153,MESO,NDRG1_pT346,3.02862535533887
154,MESO,P21,3.0286253553388702
155,MESO,P27_pT198,3.00472372842301
156,MESO,P90RSK,3.0286253553388702
157,MESO,PDCD4,3.02862535533887
158,MESO,PDK1,3.0286253553388702
159,MESO,PEA15_pS116,3.0286253553388702
160,MESO,PI3KP85,3.0286253553388702
161,MESO,PKCPANBETAII_pS660,3.0286253553388702
162,MESO,PRDX1,3.02862535533887
163,MESO,RAB11,3.0286253553388702
164,MESO,RAB25,3.02862535533887
165,MESO,RAPTOR,3.0286253553388702
166,MESO,RBM15,3.0286253553388702
167,MESO,RICTOR,3.02862535533887
168,MESO,RICTOR_pT1135,3.02862535533887
169,MESO,SCD1,3.0286253553388702
170,MESO,SF2,3.0286253553388702
171,MESO,TAZ,3.0286253553388702
172,MESO,TIGAR,3.0286253553388707
173,MESO,TRANSGLUTAMINASE,3.02862535533887
174,MESO,TFRC,3.0286253553388702
175,MESO,TSC1,3.0286253553388702
176,MESO,TUBERIN_pT1462,3.0286253553388702
177,MESO,VHL,3.0286253553388702
178,MESO,XBP1,3.02862535533887
179,MESO,ACETYLATUBULINLYS40,3.0286253553388702
180,MESO,P62LCKLIGAND,3.0286253553388693
181,MESO,X1433BETA,3.0286253553388702
182,MESO,X1433ZETA,3.0286253553388702
183,MESO,ACVRL1,3.0286253553388702
184,MESO,DIRAS3,3.0286253553388702
185,MESO,ANNEXIN1,3.0286253553388702
186,MESO,PREX1,3.0286253553388702
187,MESO,ERCC1,3.0286253553388693
188,MESO,MSH2,3.0286253553388702
189,MESO,MSH6,3.0286253553388693
190,MESO,SMAC,3.02862535533887
191,MESO,ADAR1,0.0
192,MESO,ALPHACATENIN,0.0
193,MESO,TTF1,0.0
194,MESO,CASPASE3,0.0
195,MESO,CASPASE9,0.0
196,MESO,PARP1,0.0
197,MESO,JAB1,0.0
