,TumorType,Feature,mi_score
0,OV,X1433EPSILON,4.2615472005778186
1,OV,X4EBP1,4.261547200577819
2,OV,X4EBP1_pS65,4.2615472005778186
3,OV,X4EBP1_pT37T46,4.205659212883789
4,OV,X53BP1,4.261547200577819
5,OV,ACC_pS79,4.261547200577819
6,OV,ACC1,4.253547596534118
7,OV,AKT,4.261547200577819
8,OV,AKT_pS473,4.261547200577819
9,OV,AKT_pT308,4.261547200577819
10,OV,AMPKALPHA,4.2615472005778186
11,OV,AMPK_pT172,4.261547200577819
12,OV,AR,4.261547200577819
13,OV,ASNS,4.258182408439179
14,OV,ATM,4.261547200577819
15,OV,BAK,4.2615472005778186
16,OV,BAX,4.21354957631562
17,OV,BCL2,4.261547200577819
18,OV,BCLXL,4.261547200577819
19,OV,BECLIN,4.261547200577819
20,OV,BETACATENIN,4.261547200577819
21,OV,BID,4.258182408439179
22,OV,BIM,4.2420151870774045
23,OV,CJUN_pS73,4.261547200577819
24,OV,CKIT,4.261547200577819
25,OV,CMET_pY1235,4.261547200577819
26,OV,CMYC,4.216914368454261
27,OV,CRAF,4.261547200577819
28,OV,CRAF_pS338,4.261547200577819
29,OV,CASPASE7CLEAVEDD198,4.253547596534119
30,OV,CAVEOLIN1,4.258182408439178
31,OV,CD31,4.258182408439179
32,OV,CD49B,4.261547200577819
33,OV,CDK1,4.2615472005778186
34,OV,CHK1,4.261547200577819
35,OV,CHK1_pS345,4.2245344870527735
36,OV,CHK2,4.253547596534119
37,OV,CHK2_pT68,4.258182408439179
38,OV,CIAP,4.261547200577819
39,OV,CLAUDIN7,4.2615472005778186
40,OV,COLLAGENVI,4.2615472005778186
41,OV,CYCLINB1,4.258182408439178
42,OV,CYCLIND1,4.221169694914133
43,OV,CYCLINE1,4.261547200577819
44,OV,DJ1,4.261547200577819
45,OV,DVL3,4.235453616074498
46,OV,ECADHERIN,4.261547200577819
47,OV,EEF2,4.261547200577819
48,OV,EEF2K,4.242015187077406
49,OV,EGFR,4.235453616074498
50,OV,EGFR_pY1068,4.261547200577819
51,OV,EGFR_pY1173,4.2615472005778186
52,OV,EIF4E,4.200890516986406
53,OV,ERALPHA,4.258182408439179
54,OV,ERALPHA_pS118,4.261547200577819
55,OV,ERK2,4.261547200577819
56,OV,FIBRONECTIN,4.2615472005778186
57,OV,FOXO3A,4.195900863016615
58,OV,GAB2,4.258182408439179
59,OV,GATA3,4.2615472005778186
60,OV,GSK3ALPHABETA,4.2615472005778186
61,OV,GSK3ALPHABETA_pS21S9,4.261547200577819
62,OV,HER2,4.2615472005778186
63,OV,HER2_pY1248,4.261547200577819
64,OV,HER3,4.261547200577818
65,OV,HER3_pY1298,4.261547200577819
66,OV,HSP70,4.2514528241618965
67,OV,IGFBP2,4.258182408439178
68,OV,INPP4B,4.258182408439178
69,OV,IRS1,4.261547200577819
70,OV,JNK_pT183Y185,4.248088032023256
71,OV,JNK2,4.261547200577819
72,OV,KU80,4.261547200577818
73,OV,LCK,4.2615472005778186
74,OV,LKB1,4.261547200577819
75,OV,MAPK_pT202Y204,4.2615472005778186
76,OV,MEK1,4.2615472005778186
77,OV,MEK1_pS217S221,4.2615472005778186
78,OV,MIG6,4.2615472005778186
79,OV,MRE11,4.261547200577819
80,OV,MTOR,4.261547200577819
