,TumorType,Feature,mi_score
0,PCPG,X1433EPSILON,2.719387335321644
1,PCPG,X4EBP1,2.7193873353216444
2,PCPG,X4EBP1_pS65,2.7353217532655507
3,PCPG,X4EBP1_pT37T46,2.7353217532655503
4,PCPG,X53BP1,2.7353217532655503
5,PCPG,ACC_pS79,2.735321753265551
6,PCPG,ACC1,2.735321753265551
7,PCPG,AKT,2.7353217532655503
8,PCPG,AKT_pS473,2.7353217532655503
9,PCPG,AKT_pT308,2.7193873353216436
10,PCPG,AMPKALPHA,2.7353217532655507
11,PCPG,AMPK_pT172,2.7353217532655507
12,PCPG,AR,2.7193873353216436
13,PCPG,ASNS,2.7353217532655503
14,PCPG,ATM,2.7353217532655503
15,PCPG,BAK,2.7353217532655507
16,PCPG,BAX,2.7353217532655507
17,PCPG,BCL2,2.735321753265551
18,PCPG,BCLXL,2.7193873353216436
19,PCPG,BECLIN,2.7353217532655507
20,PCPG,BETACATENIN,2.7353217532655507
21,PCPG,BID,2.7353217532655507
22,PCPG,BIM,2.7133729888415914
23,PCPG,CJUN_pS73,2.7353217532655503
24,PCPG,CKIT,2.7353217532655507
25,PCPG,CMET_pY1235,2.709467263857789
26,PCPG,CMYC,2.7353217532655503
27,PCPG,CRAF,2.7353217532655503
28,PCPG,CRAF_pS338,2.7353217532655503
29,PCPG,CASPASE7CLEAVEDD198,2.7353217532655503
30,PCPG,CAVEOLIN1,2.7353217532655507
31,PCPG,CD31,2.7353217532655507
32,PCPG,CD49B,2.7353217532655503
33,PCPG,CDK1,2.7353217532655507
34,PCPG,CHK1,2.7353217532655507
35,PCPG,CHK1_pS345,2.7193873353216436
36,PCPG,CHK2,2.7353217532655503
37,PCPG,CHK2_pT68,2.7353217532655503
38,PCPG,CIAP,2.7353217532655503
39,PCPG,CLAUDIN7,2.7353217532655507
40,PCPG,COLLAGENVI,2.7353217532655507
41,PCPG,CYCLINB1,2.7353217532655507
42,PCPG,CYCLIND1,2.7353217532655503
43,PCPG,CYCLINE1,2.7353217532655507
44,PCPG,DJ1,2.7353217532655503
45,PCPG,DVL3,2.7353217532655507
46,PCPG,ECADHERIN,2.7353217532655507
47,PCPG,EEF2,2.7353217532655507
48,PCPG,EEF2K,2.7353217532655507
49,PCPG,EGFR,2.7353217532655503
50,PCPG,EGFR_pY1068,2.7353217532655507
51,PCPG,EGFR_pY1173,2.7353217532655503
52,PCPG,EIF4E,2.735321753265551
53,PCPG,ERALPHA,2.7353217532655507
54,PCPG,ERALPHA_pS118,2.627686552642005
55,PCPG,ERK2,2.7353217532655507
56,PCPG,FIBRONECTIN,2.7353217532655503
