,TumorType,Feature,mi_score
0,SARC,X1433EPSILON,4.030188850946699
1,SARC,X4EBP1,4.0238875129416085
2,SARC,X4EBP1_pS65,4.0301888509467
3,SARC,X4EBP1_pT37T46,4.030188850946699
4,SARC,X53BP1,4.030188850946699
5,SARC,ACC_pS79,4.0301888509467
6,SARC,ACC1,4.030188850946699
7,SARC,AKT,4.030188850946699
8,SARC,AKT_pS473,4.030188850946699
9,SARC,AKT_pT308,4.030188850946699
10,SARC,AMPKALPHA,4.0301888509467
11,SARC,AMPK_pT172,4.030188850946699
12,SARC,AR,3.981322683604116
13,SARC,ASNS,4.030188850946699
14,SARC,ATM,4.030188850946699
15,SARC,BAK,4.030188850946699
16,SARC,BAX,4.030188850946699
17,SARC,BCL2,4.0301888509467
18,SARC,BCLXL,4.030188850946699
19,SARC,BECLIN,4.0301888509467
20,SARC,BETACATENIN,4.030188850946699
21,SARC,BID,4.030188850946699
22,SARC,BIM,4.0301888509467005
23,SARC,CJUN_pS73,4.030188850946699
24,SARC,CKIT,4.030188850946699
25,SARC,CMET_pY1235,3.938128568184424
26,SARC,CMYC,4.030188850946699
27,SARC,CRAF,4.030188850946699
28,SARC,CRAF_pS338,4.030188850946699
29,SARC,CASPASE7CLEAVEDD198,4.0301888509467
30,SARC,CAVEOLIN1,4.030188850946699
31,SARC,CD31,4.030188850946699
32,SARC,CD49B,4.030188850946699
33,SARC,CDK1,4.030188850946699
34,SARC,CHK1,4.030188850946699
35,SARC,CHK1_pS345,4.017586174936518
36,SARC,CHK2,4.030188850946699
37,SARC,CHK2_pT68,3.9813226836041156
38,SARC,CIAP,4.030188850946699
39,SARC,CLAUDIN7,4.015207774283043
40,SARC,COLLAGENVI,3.9936107165731975
41,SARC,CYCLINB1,4.030188850946699
42,SARC,CYCLIND1,4.030188850946699
43,SARC,CYCLINE1,4.0301888509467
44,SARC,DJ1,4.030188850946699
45,SARC,DVL3,4.004983498926337
46,SARC,ECADHERIN,4.030188850946699
47,SARC,EEF2,3.999912054578288
48,SARC,EEF2K,4.030188850946699
49,SARC,EGFR,4.0301888509467
50,SARC,EGFR_pY1068,4.030188850946699
51,SARC,EGFR_pY1173,4.030188850946699
52,SARC,EIF4E,4.030188850946699
53,SARC,ERALPHA,4.0301888509467005
54,SARC,ERALPHA_pS118,4.030188850946699
55,SARC,ERK2,4.030188850946699
56,SARC,FIBRONECTIN,4.030188850946699
57,SARC,FOXO3A,4.030188850946699
58,SARC,GAB2,4.0301888509467
59,SARC,GATA3,4.030188850946699
60,SARC,GSK3ALPHABETA,4.0238875129416085
61,SARC,GSK3ALPHABETA_pS21S9,4.0238875129416085
62,SARC,HER2,4.004983498926338
63,SARC,HER2_pY1248,3.9999120545782874
64,SARC,HER3,4.0301888509467
65,SARC,HER3_pY1298,4.030188850946699
66,SARC,HSP70,4.030188850946699
67,SARC,IGFBP2,4.030188850946699
68,SARC,INPP4B,4.030188850946699
69,SARC,IRS1,4.015207774283043
70,SARC,JNK_pT183Y185,4.030188850946699
71,SARC,JNK2,4.011284836931427
72,SARC,KU80,3.981322683604116
73,SARC,LCK,4.0238875129416085
74,SARC,LKB1,3.9466037289698535
75,SARC,MAPK_pT202Y204,4.030188850946699
76,SARC,MEK1,4.030188850946699
77,SARC,MEK1_pS217S221,4.030188850946699
78,SARC,MIG6,3.981322683604116
79,SARC,MRE11,4.011284836931427
80,SARC,MTOR,4.030188850946699
81,SARC,MTOR_pS2448,4.030188850946699
82,SARC,NCADHERIN,4.030188850946699
83,SARC,NFKBP65_pS536,4.015207774283043
84,SARC,NF2,4.0301888509467
85,SARC,NOTCH1,4.030188850946699
86,SARC,PCADHERIN,4.0301888509467
87,SARC,P27,4.030188850946699
88,SARC,P27_pT157,4.030188850946699
89,SARC,P38MAPK,4.030188850946699
90,SARC,P38_pT180Y182,4.030188850946699
91,SARC,P53,4.030188850946699
92,SARC,P70S6K,4.030188850946699
93,SARC,P70S6K_pT389,4.030188850946699
94,SARC,P90RSK_pT359S363,4.030188850946699
95,SARC,PAI1,4.030188850946699
96,SARC,PAXILLIN,4.0301888509467
97,SARC,PCNA,4.030188850946699
98,SARC,PDK1_pS241,4.030188850946699
99,SARC,PEA15,4.030188850946699
100,SARC,PI3KP110ALPHA,3.9608741328907047
101,SARC,PKCALPHA,4.0238875129416085
102,SARC,PKCALPHA_pS657,4.030188850946699
103,SARC,PKCDELTA_pS664,4.030188850946699
104,SARC,PR,4.015207774283043
105,SARC,PRAS40_pT246,3.999912054578288
106,SARC,PTEN,4.030188850946699
107,SARC,RAD50,4.030188850946699
108,SARC,RAD51,4.030188850946699
109,SARC,RB_pS807S811,4.0301888509467
110,SARC,S6,4.0238875129416085
111,SARC,S6_pS235S236,4.030188850946699
112,SARC,S6_pS240S244,4.030188850946699
113,SARC,SHC_pY317,4.030188850946699
114,SARC,SMAD1,3.9936107165731967
115,SARC,SMAD3,4.030188850946699
116,SARC,SMAD4,4.030188850946699
117,SARC,SRC,4.030188850946699
118,SARC,SRC_pY416,4.030188850946699
119,SARC,SRC_pY527,4.0238875129416085
120,SARC,STAT3_pY705,4.030188850946699
121,SARC,STAT5ALPHA,4.030188850946699
122,SARC,STATHMIN,4.030188850946699
123,SARC,SYK,4.0301888509467
124,SARC,TUBERIN,4.030188850946699
125,SARC,VEGFR2,4.0301888509467
126,SARC,XRCC1,4.004983498926338
127,SARC,YAP,4.030188850946699
128,SARC,YAP_pS127,4.0238875129416085
129,SARC,YB1,4.030188850946699
130,SARC,YB1_pS102,4.030188850946699
131,SARC,X4EBP1_pT70,4.0301888509467
132,SARC,ARAF_pS299,4.030188850946699
133,SARC,ANNEXINVII,4.030188850946699
134,SARC,ARID1A,0.0
135,SARC,BRAF,4.0301888509467
136,SARC,BAD_pS112,4.0301888509467
137,SARC,BAP1C4,4.030188850946699
138,SARC,BRCA2,4.030188850946699
139,SARC,CD20,4.030188850946699
140,SARC,CYCLINE2,4.004983498926338
141,SARC,ETS1,4.030188850946699
142,SARC,EIF4G,4.030188850946699
143,SARC,FASN,4.030188850946699
144,SARC,FOXO3A_pS318S321,4.004983498926338
145,SARC,FOXM1,4.030188850946699
146,SARC,G6PD,4.030188850946699
147,SARC,GAPDH,4.030188850946699
148,SARC,GSK3_pS9,4.015207774283043
149,SARC,HEREGULIN,4.0301888509467
150,SARC,MYH11,4.030188850946699
151,SARC,MYOSINIIA_pS1943,4.030188850946699
152,SARC,NRAS,4.030188850946699
153,SARC,NDRG1_pT346,4.030188850946699
154,SARC,P21,4.030188850946699
155,SARC,P27_pT198,4.030188850946699
156,SARC,P90RSK,4.0238875129416085
157,SARC,PDCD4,4.015207774283043
158,SARC,PDK1,4.0238875129416085
159,SARC,PEA15_pS116,4.030188850946699
160,SARC,PI3KP85,4.0301888509467
161,SARC,PKCPANBETAII_pS660,3.987624021609206
162,SARC,PRDX1,4.030188850946699
163,SARC,RAB11,4.030188850946699
164,SARC,RAB25,4.030188850946699
165,SARC,RAPTOR,4.030188850946699
166,SARC,RBM15,4.030188850946699
167,SARC,RICTOR,4.030188850946699
168,SARC,RICTOR_pT1135,4.030188850946699
169,SARC,SCD1,3.954572794885614
170,SARC,SF2,4.030188850946699
171,SARC,TAZ,4.030188850946699
172,SARC,TIGAR,4.015207774283043
173,SARC,TRANSGLUTAMINASE,4.017586174936518
174,SARC,TFRC,4.023887512941609
175,SARC,TSC1,4.0301888509467
176,SARC,TUBERIN_pT1462,4.030188850946699
177,SARC,VHL,4.030188850946699
178,SARC,XBP1,4.030188850946699
179,SARC,ACETYLATUBULINLYS40,4.0238875129416085
180,SARC,P62LCKLIGAND,4.030188850946699
181,SARC,X1433BETA,4.030188850946699
182,SARC,X1433ZETA,4.030188850946699
183,SARC,ACVRL1,4.030188850946699
184,SARC,DIRAS3,4.030188850946699
185,SARC,ANNEXIN1,4.030188850946699
186,SARC,PREX1,4.030188850946699
187,SARC,ERCC1,4.030188850946699
188,SARC,MSH2,4.030188850946699
189,SARC,MSH6,4.030188850946699
190,SARC,SMAC,4.030188850946699
191,SARC,ADAR1,4.030188850946699
192,SARC,ALPHACATENIN,4.0301888509467
193,SARC,TTF1,4.0301888509467
194,SARC,CASPASE3,0.0
195,SARC,CASPASE9,0.0
196,SARC,PARP1,0.0
197,SARC,JAB1,0.0
