,TumorType,Feature,mi_score
0,SKCM,X1433EPSILON,3.6250627936852657
1,SKCM,X4EBP1,3.6250627936852657
2,SKCM,X4EBP1_pS65,3.6250627936852653
3,SKCM,X4EBP1_pT37T46,3.6250627936852653
4,SKCM,X53BP1,3.6250627936852657
5,SKCM,ACC_pS79,3.6250627936852657
6,SKCM,ACC1,3.6250627936852653
7,SKCM,AKT,3.6250627936852657
8,SKCM,AKT_pS473,3.6250627936852657
9,SKCM,AKT_pT308,3.6250627936852657
10,SKCM,AMPKALPHA,3.6250627936852657
11,SKCM,AMPK_pT172,3.6250627936852657
12,SKCM,AR,3.6250627936852657
13,SKCM,ASNS,3.6250627936852653
14,SKCM,ATM,3.6250627936852657
15,SKCM,BAK,3.6250627936852657
16,SKCM,BAX,3.6250627936852657
17,SKCM,BCL2,3.621135614192008
18,SKCM,BCLXL,3.602266222687616
19,SKCM,BECLIN,3.6250627936852657
20,SKCM,BETACATENIN,3.6250627936852657
21,SKCM,BID,3.6250627936852657
22,SKCM,BIM,3.621135614192008
23,SKCM,CJUN_pS73,3.6250627936852657
24,SKCM,CKIT,3.621135614192008
25,SKCM,CMET_pY1235,3.6250627936852657
26,SKCM,CMYC,3.621135614192008
27,SKCM,CRAF,3.6250627936852657
28,SKCM,CRAF_pS338,3.621135614192008
29,SKCM,CASPASE7CLEAVEDD198,3.6250627936852657
30,SKCM,CAVEOLIN1,3.6250627936852657
31,SKCM,CD31,3.6250627936852657
32,SKCM,CD49B,3.6250627936852657
33,SKCM,CDK1,3.5946079585142505
34,SKCM,CHK1,3.6250627936852657
35,SKCM,CHK1_pS345,3.621135614192008
36,SKCM,CHK2,3.6250627936852657
37,SKCM,CHK2_pT68,3.6250627936852657
38,SKCM,CIAP,3.6250627936852653
39,SKCM,CLAUDIN7,3.6250627936852657
40,SKCM,COLLAGENVI,3.6250627936852657
41,SKCM,CYCLINB1,3.6250627936852657
42,SKCM,CYCLIND1,3.621135614192008
43,SKCM,CYCLINE1,3.621135614192008
44,SKCM,DJ1,3.6250627936852653
45,SKCM,DVL3,3.621135614192008
46,SKCM,ECADHERIN,3.6250627936852657
47,SKCM,EEF2,3.6250627936852657
48,SKCM,EEF2K,3.6250627936852657
49,SKCM,EGFR,3.6157261453396443
50,SKCM,EGFR_pY1068,3.6250627936852657
51,SKCM,EGFR_pY1173,3.6250627936852657
52,SKCM,EIF4E,3.621135614192008
53,SKCM,ERALPHA,3.6250627936852657
54,SKCM,ERALPHA_pS118,3.6022662226876156
55,SKCM,ERK2,3.6250627936852657
56,SKCM,FIBRONECTIN,3.6250627936852653
57,SKCM,FOXO3A,3.6250627936852657
58,SKCM,GAB2,3.6250627936852657
59,SKCM,GATA3,3.6093540757122358
60,SKCM,GSK3ALPHABETA,3.6250627936852653
61,SKCM,GSK3ALPHABETA_pS21S9,3.6250627936852653
62,SKCM,HER2,3.6250627936852657
63,SKCM,HER2_pY1248,3.6250627936852657
64,SKCM,HER3,3.6250627936852657
65,SKCM,HER3_pY1298,3.6250627936852657
66,SKCM,HSP70,3.6250627936852657
67,SKCM,IGFBP2,3.6250627936852657
68,SKCM,INPP4B,3.6250627936852657
69,SKCM,IRS1,3.6250627936852657
70,SKCM,JNK_pT183Y185,3.6250627936852657
71,SKCM,JNK2,3.615726145339644
72,SKCM,KU80,3.6250627936852653
73,SKCM,LCK,3.6250627936852657
74,SKCM,LKB1,3.6250627936852657
75,SKCM,MAPK_pT202Y204,3.6250627936852657
76,SKCM,MEK1,3.6250627936852657
77,SKCM,MEK1_pS217S221,3.6250627936852653
78,SKCM,MIG6,3.5946079585142505
79,SKCM,MRE11,3.602266222687615
80,SKCM,MTOR,3.6250627936852657
81,SKCM,MTOR_pS2448,3.6250627936852657
82,SKCM,NCADHERIN,3.606193402180873
83,SKCM,NFKBP65_pS536,3.6250627936852657
84,SKCM,NF2,3.6250627936852657
85,SKCM,NOTCH1,3.6250627936852657
86,SKCM,PCADHERIN,3.6250627936852653
87,SKCM,P27,3.586475340304565
88,SKCM,P27_pT157,3.6250627936852657
89,SKCM,P38MAPK,3.621135614192008
90,SKCM,P38_pT180Y182,3.6157261453396443
91,SKCM,P53,3.6250627936852657
92,SKCM,P70S6K,3.6250627936852657
93,SKCM,P70S6K_pT389,3.6250627936852657
94,SKCM,P90RSK_pT359S363,3.621135614192008
95,SKCM,PAI1,3.6250627936852657
96,SKCM,PAXILLIN,3.6250627936852657
97,SKCM,PCNA,3.6250627936852657
98,SKCM,PDK1_pS241,3.6250627936852657
99,SKCM,PEA15,3.6250627936852653
100,SKCM,PI3KP110ALPHA,3.621135614192008
101,SKCM,PKCALPHA,3.6250627936852657
102,SKCM,PKCALPHA_pS657,3.6250627936852653
103,SKCM,PKCDELTA_pS664,3.621135614192008
104,SKCM,PR,3.6250627936852653
105,SKCM,PRAS40_pT246,3.609354075712236
106,SKCM,PTEN,3.586475340304565
107,SKCM,RAD50,3.6250627936852653
108,SKCM,RAD51,3.6250627936852657
109,SKCM,RB_pS807S811,3.615726145339644
110,SKCM,S6,3.6250627936852657
111,SKCM,S6_pS235S236,3.621135614192008
112,SKCM,S6_pS240S244,3.621135614192008
113,SKCM,SHC_pY317,3.6250627936852653
114,SKCM,SMAD1,3.6211356141920077
115,SKCM,SMAD3,3.6250627936852657
116,SKCM,SMAD4,3.6250627936852657
117,SKCM,SRC,3.6250627936852657
118,SKCM,SRC_pY416,3.6157261453396443
119,SKCM,SRC_pY527,3.6250627936852653
120,SKCM,STAT3_pY705,3.6157261453396443
