,TumorType,Feature,mi_score
0,STAD,X1433EPSILON,3.9665516008522546
1,STAD,X4EBP1,3.9626132645990735
2,STAD,X4EBP1_pS65,3.962613264599073
3,STAD,X4EBP1_pT37T46,3.9626132645990735
4,STAD,X53BP1,3.966551600852254
5,STAD,ACC_pS79,3.958674928345891
6,STAD,ACC1,3.9665516008522546
7,STAD,AKT,3.966551600852254
8,STAD,AKT_pS473,3.966551600852255
9,STAD,AKT_pT308,3.960161428754313
10,STAD,AMPKALPHA,3.9665516008522546
11,STAD,AMPK_pT172,3.9665516008522546
12,STAD,AR,3.9626132645990735
13,STAD,ASNS,3.962613264599073
14,STAD,ATM,3.966551600852255
15,STAD,BAK,3.966551600852254
16,STAD,BAX,3.966551600852254
17,STAD,BCL2,3.9665516008522546
18,STAD,BCLXL,3.9571884279374694
19,STAD,BECLIN,3.966551600852255
20,STAD,BETACATENIN,3.9665516008522546
21,STAD,BID,3.9665516008522546
22,STAD,BIM,3.9532500916842883
23,STAD,CJUN_pS73,3.9665516008522546
24,STAD,CKIT,3.95718842793747
25,STAD,CMET_pY1235,3.9626132645990735
26,STAD,CMYC,3.966551600852255
27,STAD,CRAF,3.9665516008522546
28,STAD,CRAF_pS338,3.9665516008522546
29,STAD,CASPASE7CLEAVEDD198,3.9665516008522546
30,STAD,CAVEOLIN1,3.9665516008522546
31,STAD,CD31,3.966551600852255
32,STAD,CD49B,3.962613264599073
33,STAD,CDK1,3.9665516008522546
34,STAD,CHK1,3.923229902067258
35,STAD,CHK1_pS345,3.9665516008522546
36,STAD,CHK2,3.95718842793747
37,STAD,CHK2_pT68,3.95718842793747
38,STAD,CIAP,3.9665516008522546
39,STAD,CLAUDIN7,3.966551600852254
40,STAD,COLLAGENVI,3.9665516008522546
41,STAD,CYCLINB1,3.962613264599073
42,STAD,CYCLIND1,3.957188427937469
43,STAD,CYCLINE1,3.966551600852255
44,STAD,DJ1,3.966551600852255
45,STAD,DVL3,3.93601024626314
46,STAD,ECADHERIN,3.966551600852254
47,STAD,EEF2,3.966551600852255
48,STAD,EEF2K,3.962613264599073
49,STAD,EGFR,3.93601024626314
50,STAD,EGFR_pY1068,3.9665516008522546
51,STAD,EGFR_pY1173,3.943690266868815
52,STAD,EIF4E,3.9665516008522546
53,STAD,ERALPHA,3.9665516008522546
54,STAD,ERALPHA_pS118,3.9626132645990735
55,STAD,ERK2,3.9665516008522546
56,STAD,FIBRONECTIN,3.962613264599073
57,STAD,FOXO3A,3.966551600852254
58,STAD,GAB2,3.9665516008522546
59,STAD,GATA3,3.966551600852255
60,STAD,GSK3ALPHABETA,3.966551600852254
61,STAD,GSK3ALPHABETA_pS21S9,3.9665516008522546
