,TumorType,Feature,mi_score
0,THCA,X1433EPSILON,0.7754801092185766
1,THCA,X4EBP1,0.7612907611063693
2,THCA,X4EBP1_pS65,0.7522057760805141
3,THCA,X4EBP1_pT37T46,0.7754801092185766
4,THCA,X53BP1,0.7754801092185766
5,THCA,ACC_pS79,0.7754801092185766
6,THCA,ACC1,0.7754801092185766
7,THCA,AKT,0.7754801092185766
8,THCA,AKT_pS473,0.7754801092185765
9,THCA,AKT_pT308,0.7754801092185766
10,THCA,AMPKALPHA,0.7754801092185765
11,THCA,AMPK_pT172,0.7754801092185766
12,THCA,AR,0.7754801092185766
13,THCA,ASNS,0.7754801092185765
14,THCA,ATM,0.7754801092185766
15,THCA,BAK,0.766793765443212
16,THCA,BAX,0.7754801092185766
17,THCA,BCL2,0.7754801092185766
18,THCA,BCLXL,0.7754801092185766
19,THCA,BECLIN,0.7754801092185766
20,THCA,BETACATENIN,0.7754801092185766
21,THCA,BID,0.7699771048817338
22,THCA,BIM,0.7754801092185766
23,THCA,CJUN_pS73,0.7754801092185766
24,THCA,CKIT,0.7754801092185764
25,THCA,CMET_pY1235,0.7754801092185766
26,THCA,CMYC,0.7699771048817337
27,THCA,CRAF,0.7754801092185765
28,THCA,CRAF_pS338,0.7754801092185765
29,THCA,CASPASE7CLEAVEDD198,0.7754801092185765
30,THCA,CAVEOLIN1,0.7754801092185765
31,THCA,CD31,0.7754801092185766
32,THCA,CD49B,0.7754801092185766
33,THCA,CDK1,0.7754801092185765
34,THCA,CHK1,0.7689978597128841
35,THCA,CHK1_pS345,0.7754801092185766
36,THCA,CHK2,0.7754801092185766
37,THCA,CHK2_pT68,0.7699771048817338
38,THCA,CIAP,0.7754801092185766
39,THCA,CLAUDIN7,0.7754801092185766
40,THCA,COLLAGENVI,0.7659820202675554
41,THCA,CYCLINB1,0.7754801092185764
42,THCA,CYCLIND1,0.7682696996575076
43,THCA,CYCLINE1,0.7754801092185766
44,THCA,DJ1,0.7754801092185765
45,THCA,DVL3,0.7754801092185765
46,THCA,ECADHERIN,0.7754801092185766
47,THCA,EEF2,0.7754801092185766
48,THCA,EEF2K,0.7617874501518151
49,THCA,EGFR,0.7699771048817337
50,THCA,EGFR_pY1068,0.7754801092185765
51,THCA,EGFR_pY1173,0.7754801092185766
52,THCA,EIF4E,0.7699771048817338
53,THCA,ERALPHA,0.7754801092185766
54,THCA,ERALPHA_pS118,0.7754801092185765
55,THCA,ERK2,0.7754801092185766
56,THCA,FIBRONECTIN,0.7754801092185766
57,THCA,FOXO3A,0.7754801092185766
58,THCA,GAB2,0.7674899399902199
59,THCA,GATA3,0.7617874501518151
60,THCA,GSK3ALPHABETA,0.7754801092185766
61,THCA,GSK3ALPHABETA_pS21S9,0.7754801092185766
62,THCA,HER2,0.7754801092185766
63,THCA,HER2_pY1248,0.7754801092185765
64,THCA,HER3,0.7754801092185766
65,THCA,HER3_pY1298,0.7754801092185766
66,THCA,HSP70,0.7754801092185766
67,THCA,IGFBP2,0.7754801092185766
68,THCA,INPP4B,0.7754801092185765
69,THCA,IRS1,0.7754801092185766
70,THCA,JNK_pT183Y185,0.7754801092185766
71,THCA,JNK2,0.7754801092185765
72,THCA,KU80,0.7754801092185765
73,THCA,LCK,0.7754801092185765
74,THCA,LKB1,0.7689978597128843
75,THCA,MAPK_pT202Y204,0.7754801092185766
76,THCA,MEK1,0.7754801092185766
77,THCA,MEK1_pS217S221,0.7754801092185766
78,THCA,MIG6,0.7699771048817338
79,THCA,MRE11,0.7659820202675555
80,THCA,MTOR,0.7754801092185766
81,THCA,MTOR_pS2448,0.7754801092185766
82,THCA,NCADHERIN,0.7754801092185765
83,THCA,NFKBP65_pS536,0.7754801092185766
84,THCA,NF2,0.7754801092185766
85,THCA,NOTCH1,0.7754801092185766
86,THCA,PCADHERIN,0.7754801092185766
87,THCA,P27,0.7754801092185765
88,THCA,P27_pT157,0.7754801092185766
89,THCA,P38MAPK,0.7754801092185766
90,THCA,P38_pT180Y182,0.7714850246043982
91,THCA,P53,0.7754801092185765
92,THCA,P70S6K,0.7754801092185766
93,THCA,P70S6K_pT389,0.7754801092185766
94,THCA,P90RSK_pT359S363,0.7754801092185765
95,THCA,PAI1,0.7754801092185765
96,THCA,PAXILLIN,0.7754801092185765
97,THCA,PCNA,0.7754801092185766
98,THCA,PDK1_pS241,0.771485024604398
99,THCA,PEA15,0.7754801092185766
100,THCA,PI3KP110ALPHA,0.7754801092185765
101,THCA,PKCALPHA,0.7754801092185765
102,THCA,PKCALPHA_pS657,0.7754801092185765
103,THCA,PKCDELTA_pS664,0.7754801092185766
104,THCA,PR,0.7699771048817337
105,THCA,PRAS40_pT246,0.7754801092185766
106,THCA,PTEN,0.7754801092185766
107,THCA,RAD50,0.7754801092185766
108,THCA,RAD51,0.7754801092185766
109,THCA,RB_pS807S811,0.7754801092185766
110,THCA,S6,0.7754801092185766
111,THCA,S6_pS235S236,0.7754801092185764
112,THCA,S6_pS240S244,0.7754801092185766
113,THCA,SHC_pY317,0.7754801092185766
114,THCA,SMAD1,0.7754801092185766
115,THCA,SMAD3,0.7754801092185766
116,THCA,SMAD4,0.7754801092185766
117,THCA,SRC,0.7754801092185764
118,THCA,SRC_pY416,0.7754801092185766
119,THCA,SRC_pY527,0.7754801092185764
120,THCA,STAT3_pY705,0.7754801092185764
121,THCA,STAT5ALPHA,0.7754801092185765
122,THCA,STATHMIN,0.7754801092185765
123,THCA,SYK,0.7754801092185766
124,THCA,TUBERIN,0.7754801092185764
125,THCA,VEGFR2,0.7754801092185766
126,THCA,XRCC1,0.7676894254917817
127,THCA,YAP,0.7754801092185765
128,THCA,YAP_pS127,0.7754801092185766
129,THCA,YB1,0.7754801092185765
130,THCA,YB1_pS102,0.7754801092185766
131,THCA,X4EBP1_pT70,0.7754801092185766
132,THCA,ARAF_pS299,0.7754801092185766
133,THCA,ANNEXINVII,0.7754801092185766
134,THCA,ARID1A,0.45251185783566855
135,THCA,BRAF,0.7754801092185766
136,THCA,BAD_pS112,0.7754801092185766
137,THCA,BAP1C4,0.7754801092185766
138,THCA,BRCA2,0.7754801092185766
139,THCA,CD20,0.7754801092185765
140,THCA,CYCLINE2,0.7699771048817338
141,THCA,ETS1,0.7689978597128841
142,THCA,EIF4G,0.7754801092185764
143,THCA,FASN,0.7676894254917817
144,THCA,FOXO3A_pS318S321,0.7634948553760414
145,THCA,FOXM1,0.7754801092185766
146,THCA,G6PD,0.7699771048817338
147,THCA,GAPDH,0.7714850246043982
148,THCA,GSK3_pS9,0.767206869368378
149,THCA,HEREGULIN,0.7754801092185766
150,THCA,MYH11,0.7754801092185766
151,THCA,MYOSINIIA_pS1943,0.7754801092185765
152,THCA,NRAS,0.7754801092185766
153,THCA,NDRG1_pT346,0.7754801092185766
154,THCA,P21,0.7754801092185766
155,THCA,P27_pT198,0.7617413317214039
156,THCA,P90RSK,0.7699771048817338
157,THCA,PDCD4,0.7754801092185766
158,THCA,PDK1,0.7754801092185765
159,THCA,PEA15_pS116,0.7754801092185765
160,THCA,PI3KP85,0.7754801092185766
161,THCA,PKCPANBETAII_pS660,0.7754801092185766
162,THCA,PRDX1,0.7754801092185764
163,THCA,RAB11,0.7754801092185766
164,THCA,RAB25,0.7754801092185766
165,THCA,RAPTOR,0.7754801092185766
166,THCA,RBM15,0.7754801092185766
167,THCA,RICTOR,0.7754801092185766
168,THCA,RICTOR_pT1135,0.7754801092185766
169,THCA,SCD1,0.7754801092185766
170,THCA,SF2,0.7754801092185766
171,THCA,TAZ,0.7754801092185766
172,THCA,TIGAR,0.7754801092185766
173,THCA,TRANSGLUTAMINASE,0.7754801092185765
174,THCA,TFRC,0.7754801092185765
175,THCA,TSC1,0.7754801092185764
176,THCA,TUBERIN_pT1462,0.7754801092185766
177,THCA,VHL,0.7754801092185766
178,THCA,XBP1,0.7754801092185766
179,THCA,ACETYLATUBULINLYS40,0.7754801092185765
180,THCA,P62LCKLIGAND,0.7754801092185766
181,THCA,X1433BETA,0.7754801092185766
182,THCA,X1433ZETA,0.7754801092185766
183,THCA,ACVRL1,0.7754801092185765
184,THCA,DIRAS3,0.7754801092185766
185,THCA,ANNEXIN1,0.7754801092185766
186,THCA,PREX1,0.7754801092185766
187,THCA,ERCC1,0.7754801092185766
188,THCA,MSH2,0.7754801092185764
189,THCA,MSH6,0.7714850246043982
190,THCA,SMAC,0.7754801092185766
191,THCA,ADAR1,0.3229315146342009
192,THCA,ALPHACATENIN,0.322931514634201
193,THCA,TTF1,0.32293151463420094
194,THCA,CASPASE3,0.0
195,THCA,CASPASE9,0.0
196,THCA,PARP1,0.0
197,THCA,JAB1,0.0
