,TumorType,Feature,mi_score
0,THYM,X1433EPSILON,2.059214206480448
1,THYM,X4EBP1,2.059214206480448
2,THYM,X4EBP1_pS65,2.059214206480448
3,THYM,X4EBP1_pT37T46,2.059214206480448
4,THYM,X53BP1,2.0592142064804477
5,THYM,ACC_pS79,2.059214206480448
6,THYM,ACC1,2.059214206480448
7,THYM,AKT,2.059214206480448
8,THYM,AKT_pS473,2.0592142064804477
9,THYM,AKT_pT308,2.059214206480448
10,THYM,AMPKALPHA,2.0592142064804486
11,THYM,AMPK_pT172,2.059214206480448
12,THYM,AR,2.059214206480448
13,THYM,ASNS,2.059214206480448
14,THYM,ATM,2.059214206480448
15,THYM,BAK,2.059214206480448
16,THYM,BAX,2.059214206480448
17,THYM,BCL2,2.059214206480448
18,THYM,BCLXL,2.059214206480448
19,THYM,BECLIN,2.059214206480448
20,THYM,BETACATENIN,2.059214206480448
21,THYM,BID,2.0592142064804486
22,THYM,BIM,2.059214206480448
23,THYM,CJUN_pS73,2.0592142064804486
24,THYM,CKIT,2.0592142064804486
25,THYM,CMET_pY1235,2.059214206480448
26,THYM,CMYC,2.059214206480448
27,THYM,CRAF,2.0592142064804477
28,THYM,CRAF_pS338,2.059214206480448
29,THYM,CASPASE7CLEAVEDD198,2.059214206480448
30,THYM,CAVEOLIN1,2.059214206480448
31,THYM,CD31,2.059214206480448
32,THYM,CD49B,2.059214206480448
33,THYM,CDK1,2.0592142064804477
34,THYM,CHK1,2.059214206480448
35,THYM,CHK1_pS345,2.059214206480448
36,THYM,CHK2,2.0592142064804477
37,THYM,CHK2_pT68,2.059214206480448
38,THYM,CIAP,2.059214206480448
39,THYM,CLAUDIN7,2.0592142064804477
40,THYM,COLLAGENVI,2.0592142064804477
41,THYM,CYCLINB1,2.059214206480448
42,THYM,CYCLIND1,2.059214206480448
43,THYM,CYCLINE1,2.059214206480448
44,THYM,DJ1,2.059214206480448
45,THYM,DVL3,2.0592142064804477
46,THYM,ECADHERIN,2.0592142064804477
47,THYM,EEF2,2.059214206480448
48,THYM,EEF2K,2.059214206480448
49,THYM,EGFR,2.059214206480448
50,THYM,EGFR_pY1068,2.059214206480448
51,THYM,EGFR_pY1173,2.059214206480448
52,THYM,EIF4E,2.059214206480448
53,THYM,ERALPHA,2.0592142064804477
54,THYM,ERALPHA_pS118,2.0592142064804486
55,THYM,ERK2,2.0592142064804486
56,THYM,FIBRONECTIN,2.0592142064804486
57,THYM,FOXO3A,2.059214206480448
58,THYM,GAB2,2.0592142064804477
59,THYM,GATA3,2.0592142064804477
60,THYM,GSK3ALPHABETA,2.0592142064804486
61,THYM,GSK3ALPHABETA_pS21S9,2.0592142064804477
62,THYM,HER2,2.059214206480448
63,THYM,HER2_pY1248,2.059214206480448
64,THYM,HER3,2.059214206480448
65,THYM,HER3_pY1298,2.059214206480448
66,THYM,HSP70,2.059214206480448
67,THYM,IGFBP2,2.059214206480448
68,THYM,INPP4B,2.059214206480448
69,THYM,IRS1,2.0592142064804486
70,THYM,JNK_pT183Y185,2.059214206480448
71,THYM,JNK2,2.059214206480448
72,THYM,KU80,2.059214206480448
73,THYM,LCK,2.0592142064804477
74,THYM,LKB1,2.059214206480448
75,THYM,MAPK_pT202Y204,2.059214206480448
76,THYM,MEK1,2.0592142064804477
77,THYM,MEK1_pS217S221,2.0592142064804486
78,THYM,MIG6,2.059214206480448
79,THYM,MRE11,2.0592142064804486
80,THYM,MTOR,2.059214206480448
81,THYM,MTOR_pS2448,2.059214206480448
82,THYM,NCADHERIN,2.0592142064804486
83,THYM,NFKBP65_pS536,2.059214206480448
84,THYM,NF2,2.059214206480448
85,THYM,NOTCH1,2.0592142064804486
86,THYM,PCADHERIN,2.059214206480448
87,THYM,P27,2.0592142064804486
88,THYM,P27_pT157,2.059214206480448
89,THYM,P38MAPK,2.0592142064804486
90,THYM,P38_pT180Y182,2.059214206480448
91,THYM,P53,2.059214206480448
92,THYM,P70S6K,2.059214206480448
93,THYM,P70S6K_pT389,2.059214206480448
94,THYM,P90RSK_pT359S363,2.059214206480448
95,THYM,PAI1,2.059214206480448
96,THYM,PAXILLIN,2.059214206480448
97,THYM,PCNA,2.059214206480448
98,THYM,PDK1_pS241,2.0592142064804486
99,THYM,PEA15,2.0592142064804486
100,THYM,PI3KP110ALPHA,2.059214206480448
101,THYM,PKCALPHA,2.059214206480448
102,THYM,PKCALPHA_pS657,2.059214206480448
103,THYM,PKCDELTA_pS664,2.059214206480448
104,THYM,PR,2.059214206480448
105,THYM,PRAS40_pT246,2.059214206480448
106,THYM,PTEN,2.059214206480448
107,THYM,RAD50,2.059214206480448
108,THYM,RAD51,2.059214206480448
109,THYM,RB_pS807S811,2.0592142064804477
110,THYM,S6,2.059214206480448
111,THYM,S6_pS235S236,2.0592142064804486
112,THYM,S6_pS240S244,2.059214206480448
113,THYM,SHC_pY317,2.059214206480448
114,THYM,SMAD1,2.059214206480448
115,THYM,SMAD3,2.0592142064804486
116,THYM,SMAD4,2.0592142064804486
117,THYM,SRC,2.059214206480448
118,THYM,SRC_pY416,2.059214206480448
119,THYM,SRC_pY527,2.059214206480448
120,THYM,STAT3_pY705,2.059214206480448
121,THYM,STAT5ALPHA,2.059214206480448
122,THYM,STATHMIN,2.059214206480448
123,THYM,SYK,2.059214206480448
124,THYM,TUBERIN,2.059214206480448
125,THYM,VEGFR2,2.059214206480448
126,THYM,XRCC1,2.0592142064804477
127,THYM,YAP,2.0592142064804486
128,THYM,YAP_pS127,2.059214206480448
129,THYM,YB1,2.059214206480448
130,THYM,YB1_pS102,2.059214206480448
131,THYM,X4EBP1_pT70,2.059214206480448
132,THYM,ARAF_pS299,2.059214206480448
133,THYM,ANNEXINVII,2.059214206480448
134,THYM,ARID1A,0.0
135,THYM,BRAF,2.059214206480448
136,THYM,BAD_pS112,2.059214206480448
137,THYM,BAP1C4,2.059214206480448
138,THYM,BRCA2,0.0
139,THYM,CD20,2.059214206480448
140,THYM,CYCLINE2,2.059214206480448
