,TumorType,Feature,mi_score
0,UCEC,X1433EPSILON,3.0799989017241023
1,UCEC,X4EBP1,3.0669820532628824
2,UCEC,X4EBP1_pS65,3.064362997496284
3,UCEC,X4EBP1_pT37T46,3.079998901724102
4,UCEC,X53BP1,3.0799989017241023
5,UCEC,ACC_pS79,3.079998901724102
6,UCEC,ACC1,3.0799989017241023
7,UCEC,AKT,3.079998901724102
8,UCEC,AKT_pS473,3.0799989017241023
9,UCEC,AKT_pT308,3.0799989017241023
10,UCEC,AMPKALPHA,3.0799989017241023
11,UCEC,AMPK_pT172,3.0799989017241023
12,UCEC,AR,3.0624995591199613
13,UCEC,ASNS,3.0799989017241023
14,UCEC,ATM,3.0799989017241023
15,UCEC,BAK,3.0799989017241023
16,UCEC,BAX,3.0799989017241023
17,UCEC,BCL2,3.0767446896087973
18,UCEC,BCLXL,3.0722621954658758
19,UCEC,BECLIN,3.0799989017241023
20,UCEC,BETACATENIN,3.0799989017241023
21,UCEC,BID,3.0799989017241023
22,UCEC,BIM,3.0702362653781874
23,UCEC,CJUN_pS73,3.0799989017241023
24,UCEC,CKIT,3.079998901724102
25,UCEC,CMET_pY1235,3.0799989017241023
26,UCEC,CMYC,3.0799989017241023
27,UCEC,CRAF,3.0799989017241023
28,UCEC,CRAF_pS338,3.0321458597659667
29,UCEC,CASPASE7CLEAVEDD198,3.0799989017241023
30,UCEC,CAVEOLIN1,3.0799989017241023
31,UCEC,CD31,3.0799989017241023
32,UCEC,CD49B,3.0799989017241023
33,UCEC,CDK1,3.061108785380979
34,UCEC,CHK1,3.0799989017241023
35,UCEC,CHK1_pS345,3.0669820532628824
36,UCEC,CHK2,3.026272591884063
37,UCEC,CHK2_pT68,3.0799989017241023
38,UCEC,CIAP,3.0512780644417843
39,UCEC,CLAUDIN7,3.0799989017241023
40,UCEC,COLLAGENVI,3.064362997496284
41,UCEC,CYCLINB1,3.0799989017241023
42,UCEC,CYCLIND1,3.0197641676534532
43,UCEC,CYCLINE1,3.072262195465876
44,UCEC,DJ1,3.0722621954658758
45,UCEC,DVL3,3.0799989017241023
46,UCEC,ECADHERIN,3.0799989017241023
47,UCEC,EEF2,3.0799989017241023
48,UCEC,EEF2K,3.064362997496284
49,UCEC,EGFR,3.0564217688568953
50,UCEC,EGFR_pY1068,3.0799989017241023
51,UCEC,EGFR_pY1173,3.0799989017241023
52,UCEC,EIF4E,3.0799989017241023
53,UCEC,ERALPHA,3.0799989017241023
54,UCEC,ERALPHA_pS118,3.0722621954658758
55,UCEC,ERK2,3.0799989017241023
56,UCEC,FIBRONECTIN,3.0799989017241023
57,UCEC,FOXO3A,3.0799989017241023
58,UCEC,GAB2,3.0767446896087973
59,UCEC,GATA3,3.0767446896087973
60,UCEC,GSK3ALPHABETA,3.0799989017241023
61,UCEC,GSK3ALPHABETA_pS21S9,3.0799989017241023
62,UCEC,HER2,3.0767446896087973
63,UCEC,HER2_pY1248,3.0799989017241023
64,UCEC,HER3,3.0702362653781874
65,UCEC,HER3_pY1298,3.072262195465876
66,UCEC,HSP70,3.0688454916392054
67,UCEC,IGFBP2,3.0799989017241023
68,UCEC,INPP4B,3.0799989017241023
69,UCEC,IRS1,3.0799989017241023
70,UCEC,JNK_pT183Y185,3.0799989017241023
71,UCEC,JNK2,3.057219416916968
72,UCEC,KU80,3.0799989017241023
73,UCEC,LCK,3.0442025684557485
74,UCEC,LKB1,3.0669820532628824
75,UCEC,MAPK_pT202Y204,3.0799989017241023
76,UCEC,MEK1,3.072262195465876
77,UCEC,MEK1_pS217S221,3.0799989017241023
78,UCEC,MIG6,3.0767446896087973
79,UCEC,MRE11,3.0278440545001057
80,UCEC,MTOR,3.0799989017241023
81,UCEC,MTOR_pS2448,3.0799989017241023
82,UCEC,NCADHERIN,3.0799989017241023
83,UCEC,NFKBP65_pS536,3.072262195465876
84,UCEC,NF2,3.0799989017241023
85,UCEC,NOTCH1,3.0799989017241023
86,UCEC,PCADHERIN,3.0799989017241023
87,UCEC,P27,3.066982053262883
88,UCEC,P27_pT157,3.0799989017241023
89,UCEC,P38MAPK,3.0478237946635813
90,UCEC,P38_pT180Y182,3.0799989017241023
91,UCEC,P53,3.0799989017241027
92,UCEC,P70S6K,3.0722621954658758
93,UCEC,P70S6K_pT389,3.0799989017241023
94,UCEC,P90RSK_pT359S363,3.0767446896087973
95,UCEC,PAI1,3.0799989017241023
96,UCEC,PAXILLIN,3.061108785380979
97,UCEC,PCNA,3.079998901724102
98,UCEC,PDK1_pS241,3.0722621954658758
99,UCEC,PEA15,3.0799989017241023
100,UCEC,PI3KP110ALPHA,3.0767446896087973
101,UCEC,PKCALPHA,3.0799989017241023
102,UCEC,PKCALPHA_pS657,3.0767446896087973
103,UCEC,PKCDELTA_pS664,3.0799989017241023
104,UCEC,PR,3.0799989017241023
105,UCEC,PRAS40_pT246,3.0442025684557485
106,UCEC,PTEN,3.0755164075811807
107,UCEC,RAD50,3.072262195465876
108,UCEC,RAD51,3.0799989017241023
109,UCEC,RB_pS807S811,3.0722621954658758
110,UCEC,S6,3.0799989017241023
111,UCEC,S6_pS235S236,3.0669820532628824
112,UCEC,S6_pS240S244,3.0799989017241023
113,UCEC,SHC_pY317,3.0799989017241023
114,UCEC,SMAD1,3.061108785380979
115,UCEC,SMAD3,3.0799989017241023
116,UCEC,SMAD4,3.0799989017241023
117,UCEC,SRC,3.0799989017241023
118,UCEC,SRC_pY416,3.0799989017241023
119,UCEC,SRC_pY527,3.0799989017241023
120,UCEC,STAT3_pY705,3.072262195465876
121,UCEC,STAT5ALPHA,3.079998901724102
122,UCEC,STATHMIN,3.054762852861735
123,UCEC,SYK,3.0799989017241023
124,UCEC,TUBERIN,3.0799989017241023
125,UCEC,VEGFR2,3.0799989017241023
126,UCEC,XRCC1,3.061271277092345
127,UCEC,YAP,3.079998901724102
128,UCEC,YAP_pS127,3.0799989017241023
129,UCEC,YB1,3.0799989017241023
130,UCEC,YB1_pS102,3.0539652048016634
131,UCEC,X4EBP1_pT70,3.0767446896087973
132,UCEC,ARAF_pS299,3.079998901724102
133,UCEC,ANNEXINVII,3.0799989017241023
134,UCEC,ARID1A,2.8295686157207314
135,UCEC,BRAF,3.0767446896087973
136,UCEC,BAD_pS112,3.051939274713974
137,UCEC,BAP1C4,3.0799989017241023
138,UCEC,BRCA2,2.8366025226992164
139,UCEC,CD20,3.055760558584706
140,UCEC,CYCLINE2,3.0799989017241023
141,UCEC,ETS1,3.0767446896087973
142,UCEC,EIF4G,3.0512780644417847
143,UCEC,FASN,3.0669820532628824
144,UCEC,FOXO3A_pS318S321,3.0799989017241023
145,UCEC,FOXM1,3.0767446896087973
146,UCEC,G6PD,3.0799989017241023
147,UCEC,GAPDH,3.0799989017241023
148,UCEC,GSK3_pS9,3.0767446896087973
149,UCEC,HEREGULIN,3.0799989017241023
150,UCEC,MYH11,3.0799989017241023
151,UCEC,MYOSINIIA_pS1943,3.0799989017241023
152,UCEC,NRAS,3.0799989017241023
153,UCEC,NDRG1_pT346,3.079998901724102
154,UCEC,P21,3.072262195465876
155,UCEC,P27_pT198,3.0402257466126197
156,UCEC,P90RSK,3.068845491639205
