,TumorType,Feature,mi_score
0,UCS,X1433EPSILON,3.2674648538630993
1,UCS,X4EBP1,3.2674648538631006
2,UCS,X4EBP1_pS65,3.2674648538630997
3,UCS,X4EBP1_pT37T46,3.2674648538630993
4,UCS,X53BP1,3.2674648538630993
5,UCS,ACC_pS79,3.2674648538630993
6,UCS,ACC1,3.2674648538631
7,UCS,AKT,3.2674648538630997
8,UCS,AKT_pS473,3.2674648538631
9,UCS,AKT_pT308,3.2674648538630993
10,UCS,AMPKALPHA,3.2674648538630997
11,UCS,AMPK_pT172,3.2674648538631
12,UCS,AR,3.2674648538630997
13,UCS,ASNS,3.2674648538631006
14,UCS,ATM,3.267464853863099
15,UCS,BAK,3.2674648538631006
16,UCS,BAX,3.2674648538630997
17,UCS,BCL2,3.2674648538630997
18,UCS,BCLXL,3.2674648538630993
19,UCS,BECLIN,3.2674648538630997
20,UCS,BETACATENIN,3.267464853863099
21,UCS,BID,3.2674648538630997
22,UCS,BIM,3.2674648538631006
23,UCS,CJUN_pS73,3.2674648538630997
24,UCS,CKIT,3.2674648538631
25,UCS,CMET_pY1235,3.2674648538630997
26,UCS,CMYC,3.2674648538630997
27,UCS,CRAF,3.2674648538631
28,UCS,CRAF_pS338,3.2674648538631006
29,UCS,CASPASE7CLEAVEDD198,3.267464853863099
30,UCS,CAVEOLIN1,3.2674648538630997
31,UCS,CD31,3.2674648538630997
32,UCS,CD49B,3.2674648538630997
33,UCS,CDK1,3.2674648538630997
34,UCS,CHK1,3.2674648538631006
35,UCS,CHK1_pS345,3.2674648538631
36,UCS,CHK2,3.267464853863099
37,UCS,CHK2_pT68,3.237969229158421
38,UCS,CIAP,3.2674648538630997
39,UCS,CLAUDIN7,3.2674648538630997
40,UCS,COLLAGENVI,3.2674648538630997
41,UCS,CYCLINB1,3.2674648538630997
42,UCS,CYCLIND1,3.2674648538631
43,UCS,CYCLINE1,3.2674648538630997
44,UCS,DJ1,3.2674648538630997
45,UCS,DVL3,3.267464853863099
46,UCS,ECADHERIN,3.2674648538630997
47,UCS,EEF2,3.2674648538630997
48,UCS,EEF2K,3.2674648538630997
49,UCS,EGFR,3.2674648538630993
50,UCS,EGFR_pY1068,3.2674648538631
51,UCS,EGFR_pY1173,3.2674648538630997
52,UCS,EIF4E,3.2674648538631006
53,UCS,ERALPHA,3.2674648538630997
54,UCS,ERALPHA_pS118,3.2674648538631006
55,UCS,ERK2,3.2674648538630997
56,UCS,FIBRONECTIN,3.2674648538630997
57,UCS,FOXO3A,3.2674648538630997
58,UCS,GAB2,3.2379692291584212
59,UCS,GATA3,3.2674648538631006
60,UCS,GSK3ALPHABETA,3.2674648538631006
61,UCS,GSK3ALPHABETA_pS21S9,3.2674648538631006
62,UCS,HER2,3.2674648538631006
63,UCS,HER2_pY1248,3.2674648538630997
64,UCS,HER3,3.2674648538630993
65,UCS,HER3_pY1298,3.2674648538630997
66,UCS,HSP70,3.2674648538630997
67,UCS,IGFBP2,3.2674648538630997
68,UCS,INPP4B,3.2674648538630993
69,UCS,IRS1,3.2674648538630997
70,UCS,JNK_pT183Y185,3.2674648538630997
71,UCS,JNK2,3.2674648538631
72,UCS,KU80,3.2674648538630997
73,UCS,LCK,3.267464853863099
74,UCS,LKB1,3.237969229158421
75,UCS,MAPK_pT202Y204,3.2674648538630997
76,UCS,MEK1,3.2674648538630997
77,UCS,MEK1_pS217S221,3.267464853863099
78,UCS,MIG6,3.2674648538630997
79,UCS,MRE11,3.237969229158421
80,UCS,MTOR,3.2674648538631
81,UCS,MTOR_pS2448,3.2674648538630997
82,UCS,NCADHERIN,3.2674648538630997
83,UCS,NFKBP65_pS536,3.2674648538630997
84,UCS,NF2,3.2674648538631
85,UCS,NOTCH1,3.2674648538630997
86,UCS,PCADHERIN,3.2674648538630997
87,UCS,P27,3.2674648538630993
88,UCS,P27_pT157,3.2674648538630997
89,UCS,P38MAPK,3.2674648538630997
90,UCS,P38_pT180Y182,3.237969229158421
91,UCS,P53,3.2674648538630997
92,UCS,P70S6K,3.2674648538631
93,UCS,P70S6K_pT389,3.2674648538630997
94,UCS,P90RSK_pT359S363,3.2674648538630993
95,UCS,PAI1,3.267464853863099
96,UCS,PAXILLIN,3.2674648538630997
97,UCS,PCNA,3.2674648538630997
98,UCS,PDK1_pS241,3.2674648538630997
99,UCS,PEA15,3.2674648538630997
100,UCS,PI3KP110ALPHA,3.2674648538630997
101,UCS,PKCALPHA,3.2674648538631
102,UCS,PKCALPHA_pS657,3.2674648538631
103,UCS,PKCDELTA_pS664,3.2674648538630993
104,UCS,PR,3.2674648538631006
105,UCS,PRAS40_pT246,3.2674648538630997
106,UCS,PTEN,3.2674648538631
107,UCS,RAD50,3.2674648538630993
108,UCS,RAD51,3.2674648538630997
109,UCS,RB_pS807S811,3.2674648538630993
110,UCS,S6,3.2674648538630997
